S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)(iii)	entered into the United States for consumption, use, or warehousing, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(C)	natural gas—			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(C)(i)	delivered to an end user by any person required to submit form 176 of the Energy Information Administration (or a successor form), or			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(C)(ii)	sold in the United States by any processor not described in clause (i).			
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)	RATE.—The rate specified in this paragraph with respect to any product described in paragraph (1) is an amount equal to the applicable amount per ton of carbon dioxide that would be emitted through the combustion of such product, as determined by the Secretary, in consultation with the Secretary of Energy and the Administrator of the Environmental Protection Agency (referred to in this section as the ‘Administrator’).	product, secretary, consultation, energy, administrator		any manufactured product which the Secretary, in consultation with the Administrator, the Secretary of Commerce, and the Secretary of Energy, determines is energy-intensive and trade-exposed (with the exception of any covered fuel). (4) COVERED ENTITY.—The term ‘covered entity’ means—
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		amount, carbon, dioxide, emitted, determined		in the case of any noncovered fuel emissions, the entity which is the source of such emissions, provided that the total amount of carbon dioxide or methane emitted by such entity for the preceding year (as determined using the methodology required under section 4692(e)(4)) was not less than 25,000 metric tons, and (E) any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		product, carbon, dioxide, emitted, energy		NONCOVERED FUEL EMISSION.—The term ‘noncovered fuel emission’ means any carbon dioxide or methane emitted as a result of the production, processing, transport, or use of any product or material within the energy or industrial sectors— (A) including any fugitive or process emissions associated with the production, processing, or transport of a covered fuel, and
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		respect, described, secretary, consultation, administrator	[SEC. 3.(a)(1)] (i)(3)(B)	DETERMINATIONS.—Not later than September 30, 2025, and annually thereafter, the Administrator, in consultation with the Secretary and as part of the report described in subparagraph (A), shall determine whether cumulative emissions with respect to the preceding calendar year exceeded the cumulative emissions target with respect to such year.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		carbon, secretary, consultation, energy, administrator	[SEC. 3.(a)(1)] SEC. 4694.(a)(1)	CAPTURE, SEQUESTRATION, AND USE.— The Secretary, in consultation with the Administrator and the Secretary of Energy, shall prescribe regulations for providing payments to any person which captures qualified carbon oxide which is—
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		carbon, secretary, consultation, energy, administrator	[SEC. 3.(a)(1)] SEC. 4694.(c)	APPROVED USES OF QUALIFIED CARBON OXIDE.—The Secretary, in consultation with Administrator and the Secretary of Energy, shall, through regulation or other public guidance, determine which uses of qualified carbon oxide are eligible for payments under this section, which may include—
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		product, amount, equal, carbon, determined, secretary	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		product, amount, equal, carbon, determined, secretary	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		described, secretary, consultation, administrator, environmental, protection, agency	SEC. 6.(c)(1)	IN GENERAL.—The Secretary, in consultation with the Administrator of the Environmental Protection Agency, shall establish a program to provide payments to eligible producers that will assist with the transition to reducing greenhouse gas emissions through the adoption of qualifying practices described in paragraph (2).
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		determined, secretary, consultation, administrator, agency	SEC. 7.(c)(2)	as determined by the Secretary, in consultation with the Administrator of the Federal Emergency Management Agency, has been or is at risk of being impacted by extreme weather events, sea level rise, and natural disasters related to climate change; or
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		carbon, determined, secretary, consultation, administrator, environmental, protection, agency	SEC. 7.(c)(3)	as determined by the Secretary, in consultation with the Administrator of the Environmental Protection Agency, has been impacted by harmful residuals from a fossil fuel or carbon-intensive industry.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		secretary, administrator, environmental, protection, agency	SEC. 7.(d)(4)	other activities as the Secretary, in coordination with the Secretary of Labor, the Administrator of the Federal Emergency Management Agency, and the Administrator of the Environmental Protection Agency, determines to be appropriate.
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		administrator, environmental, protection, agency, referred	SEC. 8.(a)	IN GENERAL.—Not later than January 1, 2025, the Administrator of the Environmental Protection Agency (referred to in this section as the ‘‘Administrator’’) shall seek to enter into an agreement with the National Academy of Sciences under which the National Academy of Sciences shall carry out a study not less frequently than once every 5 years to evaluate the effectiveness of the fees established under sections 4692 and 4693 of the Internal Revenue Code of 1986 in achieving the following goals:
[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)		consultation, administrator, environmental, protection, agency	SEC. 9.(a)	IN GENERAL.—The Chair of the Council on Environmental Quality, in consultation with the Secretaries of Agriculture, Commerce, and the Interior, the Chief of Engineers, and the Administrator of the Environmental Protection Agency, shall—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)	APPLICABLE AMOUNT.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)	IN GENERAL.—For purposes of this part, the applicable amount is—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(A)	for calendar year 2023, $54, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(B)	subject to paragraph (3), for calendar year 2024 and any subsequent calendar year, the sum of—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(B)(i)	the product of the amount in effect under this paragraph for the preceding calendar year and 106 percent, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(B)(ii)	the inflation adjustment amount determined under paragraph (2).			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)	INFLATION ADJUSTMENT AMOUNT.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(A)	IN GENERAL.—The inflation adjustment amount for any calendar year shall be an amount (not less than zero) equal to the product of—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(A)(i)	the amount in effect under paragraph (1) for the preceding calendar year, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(A)(ii)	the percentage by which the CPI for the preceding calendar year exceeds the CPI for the second preceding calendar year.			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(B)	CPI.—Rules similar to the rules of paragraphs (4) and (5) of section 1(f) shall apply for purposes of this paragraph.			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)	ENVIRONMENTAL INTEGRITY MECHANISM.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(A)	IN GENERAL.—With respect to calendar year 2024 and any subsequent calendar year, the Secretary shall, not later than September 30 of each such year, make a determination based upon the report described in paragraph (5) with regard to whether the cumulative emissions for the applicable period exceeded the cumulative emissions target for such period.	respect, calendar, secretary, determination, applicable, period	[SEC. 3.(a)] SEC. 4692.(a)(1)	APPLICABLE PERIOD.—The term ‘applicable period’ means, with respect to any determination made by the Secretary under subsection (e)(3) for any calendar year, the period—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(A)		cumulative, emissions, applicable, period, target	[SEC. 3.(a)] SEC. 4692.(a)(3)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the emissions targets for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(A)		calendar, secretary, determination, cumulative, emissions, exceeded, target	[SEC. 3.(a)] SEC. 4692.(d)(3)(A)	INCREASE IN RATE FOLLOWING MISSED CUMULATIVE EMISSIONS TARGET.—In the case of any calendar year following a determination by the Secretary pursuant to subsection (e)(3) that the cumulative emissions for the preceding calendar year exceeded the cumulative emissions target for such year, paragraph
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(A)		secretary, determination, cumulative, emissions, target		CESSATION OF RATE INCREASE FOLLOWING ACHIEVEMENT OF CUMULATIVE EMISSIONS TARGET.—In the case of any year following a determination by the Secretary pursuant to subsection (e)(3) that— (i) the average annual emissions of greenhouse gases from covered entities over the preceding 3-year period are not more than 10 percent of the greenhouse gas emissions during the year 2018, and
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(A)		respect, calendar, secretary, september, report, described, cumulative, emissions, exceeded, target	[SEC. 3.(a)(1)] (i)(3)(B)	DETERMINATIONS.—Not later than September 30, 2025, and annually thereafter, the Administrator, in consultation with the Secretary and as part of the report described in subparagraph (A), shall determine whether cumulative emissions with respect to the preceding calendar year exceeded the cumulative emissions target with respect to such year.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(A)		respect, calendar, subsequent, determination, emissions	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)	EXCEEDING CUMULATIVE EMISSIONS TARGET.—If the Secretary determines, pursuant to subparagraph (A), that the cumulative emissions for the applicable period exceeded the cumulative emissions target for such period, the applicable amount for the calendar year beginning after such determination shall be equal to the product of the amount otherwise in effect (without application of this paragraph) under paragraph (1)(B) for such calendar year and 105 percent.	secretary, applicable, period, calendar, determination	[SEC. 3.(a)] SEC. 4692.(a)(1)	APPLICABLE PERIOD.—The term ‘applicable period’ means, with respect to any determination made by the Secretary under subsection (e)(3) for any calendar year, the period—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)		cumulative, emissions, applicable, period, amount, equal	[SEC. 3.(a)] SEC. 4692.(a)(2)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of any greenhouse gas emissions resulting from the use of covered fuels and any noncovered fuel emissions for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)		cumulative, emissions, target, applicable, period, amount, equal	[SEC. 3.(a)] SEC. 4692.(a)(3)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the emissions targets for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)		cumulative, emissions, target, secretary, pursuant, exceeded, calendar, determination	[SEC. 3.(a)] SEC. 4692.(d)(3)(A)	INCREASE IN RATE FOLLOWING MISSED CUMULATIVE EMISSIONS TARGET.—In the case of any calendar year following a determination by the Secretary pursuant to subsection (e)(3) that the cumulative emissions for the preceding calendar year exceeded the cumulative emissions target for such year, paragraph
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)		cumulative, emissions, target, secretary, pursuant, determination		CESSATION OF RATE INCREASE FOLLOWING ACHIEVEMENT OF CUMULATIVE EMISSIONS TARGET.—In the case of any year following a determination by the Secretary pursuant to subsection (e)(3) that— (i) the average annual emissions of greenhouse gases from covered entities over the preceding 3-year period are not more than 10 percent of the greenhouse gas emissions during the year 2018, and
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)		cumulative, emissions, target, secretary, subparagraph, exceeded, calendar	[SEC. 3.(a)(1)] (i)(3)(B)	DETERMINATIONS.—Not later than September 30, 2025, and annually thereafter, the Administrator, in consultation with the Secretary and as part of the report described in subparagraph (A), shall determine whether cumulative emissions with respect to the preceding calendar year exceeded the cumulative emissions target with respect to such year.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)		emissions, amount, calendar, beginning, determination	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)	DEFINITIONS.—In this paragraph:			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(i)	APPLICABLE PERIOD.—The term ‘applicable period’ means, with respect to any determination made by the Secretary under this paragraph for any calendar year, the period—	applicable, period, term, respect, determination, secretary, calendar	[SEC. 3.(a)] SEC. 4692.(a)(1)	APPLICABLE PERIOD.—The term ‘applicable period’ means, with respect to any determination made by the Secretary under subsection (e)(3) for any calendar year, the period—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(i)(I)	beginning on January 1, 2023, and			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(i)(II)	ending on December 31 of the preceding calendar year.			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of the net total anthropogenic greenhouse gas emissions and sinks for all years during the applicable period, as determined by the Administrator pursuant to paragraph (5).	emissions, term, greenhouse, gas, period		CARBON DIOXIDE EQUIVALENT OR CO2E.—The term ‘carbon dioxide equivalent’ or ‘CO2-e’ means the number of metric tons of carbon dioxide emissions with the same global warming potential over a 100-year period as one metric ton of another greenhouse gas. (3) CARBON-INTENSIVE PRODUCT.—The term ‘carbon-intensive product’ means—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		cumulative, emissions, term, amount, equal, sum, greenhouse, gas, years, applicable, period	[SEC. 3.(a)] SEC. 4692.(a)(2)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of any greenhouse gas emissions resulting from the use of covered fuels and any noncovered fuel emissions for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		cumulative, emissions, term, amount, equal, sum, years, applicable, period	[SEC. 3.(a)] SEC. 4692.(a)(3)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the emissions targets for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		emissions, term, greenhouse, gas, determined	[SEC. 3.(a)] SEC. 4692.(a)(4)	EMISSIONS TARGET.—The term ‘emissions target’ means the target for greenhouse gas emissions during a calendar year as determined under subsection (e)(1).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		cumulative, emissions, greenhouse, gas, determined		METHODOLOGY.—With respect to any year, the annual greenhouse gas emissions and cumulative emissions described in subparagraph (A) or (B) shall be determined using the methodology required under subsection (e)(4). (e) EMISSIONS TARGETS.—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		emissions, amount, equal, greenhouse, gas	[SEC. 3.(a)(1)] (i)(1)(A)	REFERENCE YEAR.—For purposes of subsection (d), the emissions target for any year shall be the amount of greenhouse gas emissions that is equal to—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		emissions, amount, total, greenhouse, gas, years, applicable	[SEC. 3.(a)(1)] (i)(1)(A)(i)	for calendar years 2023 and 2024, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel during calendar year 2018, and
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		emissions, amount, total, greenhouse, gas, applicable	[SEC. 3.(a)(1)] (i)(1)(A)(ii)	for calendar year 2025 and each calendar year thereafter, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		emissions, amount, total, greenhouse, gas, determined, administrator	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)		emissions, amount, greenhouse, gas, years, administrator	[SEC. 3.(a)(1)] (i)(5)	REVISIONS.—With respect to any determination made by the Administrator as to the amount of greenhouse gas emissions for any calendar year (including calendar year 2018), any subsequent revision by the Administrator with respect to such amount shall apply for purposes of the fee imposed under subsection (b) for any calendar years beginning after such revision. (f) EXEMPTION AND REFUND.—The Secretary shall prescribe such rules as are necessary to ensure the carbon fee imposed by this section is not imposed with respect to any nonemitting use, or any sale or transfer for a nonemitting use, including rules providing for the refund of any carbon fee paid under this section with respect to any such use, sale, or transfer.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iii)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the annual emissions targets for all years during the applicable period.	cumulative, emissions, term, amount, equal, sum, years, applicable, period	[SEC. 3.(a)] SEC. 4692.(a)(2)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of any greenhouse gas emissions resulting from the use of covered fuels and any noncovered fuel emissions for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iii)		cumulative, emissions, target, term, amount, equal, sum, targets, years, applicable, period	[SEC. 3.(a)] SEC. 4692.(a)(3)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the emissions targets for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)	ANNUAL EMISSIONS TARGET.— The term ‘annual emissions target’ means, with respect to any calendar year, an amount equal to the product of—	emissions, target, term, amount, equal	[SEC. 3.(a)] SEC. 4692.(a)(3)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the emissions targets for all years during the applicable period.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)(I)	net total anthropogenic greenhouse gas emissions and sinks for 2019, as determined by the Administrator pursuant to paragraph (5) (to the extent the methodology under such paragraph is applicable), and	greenhouse, gas, emissions, determined, methodology		METHODOLOGY.—With respect to any year, the annual greenhouse gas emissions and cumulative emissions described in subparagraph (A) or (B) shall be determined using the methodology required under subsection (e)(4). (e) EMISSIONS TARGETS.—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)(I)		total, greenhouse, gas, emissions, applicable	[SEC. 3.(a)(1)] (i)(1)(A)(i)	for calendar years 2023 and 2024, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel during calendar year 2018, and
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)(I)		total, greenhouse, gas, emissions, applicable	[SEC. 3.(a)(1)] (i)(1)(A)(ii)	for calendar year 2025 and each calendar year thereafter, the applicable percentage of the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)(I)		total, greenhouse, gas, emissions, determined, administrator, extent, methodology	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)(II)	the applicable percentage for such year, as determined under paragraph (4).			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)	APPLICABLE PERCENTAGE.—			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(A)	2023.—In the case of calendar year 2023, the applicable percentage shall be 72 percent.			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)	2024 THROUGH 2035.—In the case of calendar years 2024 through 2035, the applicable percentage shall be equal to—	case, calendar, years, applicable, percentage	[SEC. 3.(a)(1)] (i)(2)(A)	2023 THROUGH 2035.—In the case of calendar years 2023 through 2035, the applicable percentage shall be determined as follows:
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)		case, calendar, years, applicable, percentage, equal	[SEC. 3.(a)(1)] (i)(2)(B)	2036 THROUGH 2050.—In the case of calendar years 2036 through 2050, the applicable percentage shall be equal to—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)		case, calendar, applicable, percentage, equal	[SEC. 3.(a)(1)] (i)(2)(C)	AFTER 2050.—In the case of any calendar year beginning after 2050, the applicable percentage shall be equal to 10 percent.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)(i)	the applicable percentage for the preceding year, minus			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)(ii)	2 percentage points.			
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)	2036 THROUGH 2050.—In the case of calendar years 2036 through 2050, the applicable percentage shall be equal to—	case, calendar, years, applicable, percentage	[SEC. 3.(a)(1)] (i)(2)(A)	2023 THROUGH 2035.—In the case of calendar years 2023 through 2035, the applicable percentage shall be determined as follows:
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)		case, calendar, years, applicable, percentage, equal	[SEC. 3.(a)(1)] (i)(2)(B)	2036 THROUGH 2050.—In the case of calendar years 2036 through 2050, the applicable percentage shall be equal to—
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)		case, calendar, applicable, percentage, equal	[SEC. 3.(a)(1)] (i)(2)(C)	AFTER 2050.—In the case of any calendar year beginning after 2050, the applicable percentage shall be equal to 10 percent.
[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)(i)	the applicable percentage for the preceding year, minus			
