Item	Page_Lines	Para	Text	Keywords
16	3.1 - 3.8	[SEC. 10101.(a)(2)] (k)(1)(A)	IN GENERAL. The term ‘applicable corporation’ means, with respect to any taxable year, any corporation (other than an S corporation, a regulated investment company, or a real estate investment trust) which meets the average annual adjusted financial statement income test of subparagraph (B) for one or more taxable years which	term, applicable, corporation, respect, taxable, regulated, investment, company, estate, trust, meets, average, annual, adjusted, financial, statement, income, test, subparagraph, years
17	3.9 - 3.9	[SEC. 10101.(a)(2)] (k)(1)(A)(i)	are prior to such taxable year, and	prior, taxable
18	3.10 - 3.10	[SEC. 10101.(a)(2)] (k)(1)(A)(ii)	end after December 31, 2021.	december
19	3.11 - 3.13	[SEC. 10101.(a)(2)] (k)(1)(B)	AVERAGE ANNUAL ADJUSTED FINANCIAL STATEMENT INCOME TEST. For purposes of this subsection	average, annual, adjusted, financial, statement, income, test, purposes, subsection
20	3.14 - 3.21	[SEC. 10101.(a)(2)] (k)(1)(B)(i)	a corporation meets the average annual adjusted financial statement income test for a taxable year if the average annual adjusted financial statement income of such corporation (determined without regard to section 56A(d)) for the 3-taxable-year period ending with such taxable year exceeds $1,000,000,000, and	corporation, meets, average, annual, adjusted, financial, statement, income, test, taxable, determined, regard, 56a, period, ending, exceeds, 1,000,000,000
21	3.22 - 4.2	[SEC. 10101.(a)(2)] (k)(1)(B)(ii)	in the case of a corporation described in paragraph (2), such corporation meets the average annual adjusted financial statement income test for a taxable year if	case, corporation, described, meets, average, annual, adjusted, financial, statement, income, test, taxable
22	4.3 - 4.6	[SEC. 10101.(a)(2)] (k)(1)(B)(ii)(I)	the corporation meets the requirements of clause (i) for such taxable year (determined after the application of paragraph (2)), and	corporation, meets, requirements, clause, taxable, determined, application
23	4.7 - 4.14	[SEC. 10101.(a)(2)] (k)(1)(B)(ii)(II)	the average annual adjusted financial statement income of such corporation (determined without regard to the application of paragraph (2) and without regard to section 56A(d)) for the 3-taxable-year-period ending with such taxable year is $100,000,000 or more.	average, annual, adjusted, financial, statement, income, corporation, determined, regard, application, 56a, taxable, period, ending, 100,000,000
24	4.15 - 4.19	[SEC. 10101.(a)(2)] (k)(1)(C)	EXCEPTION. Notwithstanding subparagraph (A), the term ‘applicable corporation’ shall not include any corporation which otherwise meets the requirements of subparagraph (A) if	exception, notwithstanding, subparagraph, term, applicable, corporation, otherwise, meets, requirements
25	4.20 - 4.20	[SEC. 10101.(a)(2)] (k)(1)(C)(i)	such corporation	corporation
26	4.21 - 4.22	[SEC. 10101.(a)(2)] (k)(1)(C)(i)(I)	has a change in ownership, or	ownership
27	4.23 - 5.7	[SEC. 10101.(a)(2)] (k)(1)(C)(i)(II)	has a specified number (to be determined by the Secretary and which shall, as appropriate, take into account the facts and circumstances of the taxpayer) of consecutive taxable years, including the most recent taxable year, in which the corporation does not meet the average annual adjusted financial statement income test of subparagraph (B), and	specified, number, determined, secretary, appropriate, account, facts, circumstances, taxpayer, consecutive, taxable, years, corporation, average, annual, adjusted, financial, statement, income, test, subparagraph
28	5.8 - 5.19	[SEC. 10101.(a)(2)] (k)(1)(C)(ii)	the Secretary determines that it would not be appropriate to continue to treat such corporation as an applicable corporation. The preceding sentence shall not apply to any corporation if, after the Secretary makes the determination described in clause (ii), such corporation meets the average annual adjusted financial statement income test of subparagraph (B)  for any taxable year beginning after the first taxable year for which such determination applies.	secretary, determines, appropriate, continue, treat, corporation, applicable, preceding, sentence, apply, determination, described, clause, meets, average, annual, adjusted, financial, statement, income, test, subparagraph
30	5.20 - 5.21	[SEC. 10101.(a)(2)] (k)(1)(D)	SPECIAL RULES FOR DETERMINING APPLICABLE CORPORATION STATUS.	special, rules, determining, applicable, corporation, status
31	5.22 - 6.10	[SEC. 10101.(a)(2)] (k)(1)(D)(i)	IN GENERAL. Solely for purposes of determining whether a corporation is an applicable corporation under this paragraph, all adjusted financial statement income of persons treated as a single employer with such corporation under subsection (a) or (b) of section 52 (determined with the modifications described in clause (ii)) shall be treated as adjusted financial statement income of such corporation, and adjusted financial statement income of such corporation shall be determined without regard to paragraphs (2)(D)(i) and (11) of section 56A(c).	solely, purposes, determining, corporation, applicable, adjusted, financial, statement, income, persons, treated, employer, subsection, determined, modifications, described, clause, regard, paragraphs, 56a
32	6.11 - 6.12	[SEC. 10101.(a)(2)] (k)(1)(D)(ii)	MODIFICATIONS. For purposes of this subparagraph	modifications, purposes, subparagraph
33	6.13 - 6.15	[SEC. 10101.(a)(2)] (k)(1)(D)(ii)(I)	section 52(a) shall be applied by substituting ‘component members’ for ‘members’, and	applied, substituting, component, members
34	6.16 - 6.23	[SEC. 10101.(a)(2)] (k)(1)(D)(ii)(II)	for purposes of applying section 52(b), the term ‘trade or business’ shall include any activity treated as a trade or business under paragraph (5) or (6) of section 469(c) (determined without regard to the phrase ‘To the extent provided in regulations’ in such paragraph (6)).	purposes, applying, term, trade, business, activity, treated, determined, regard, phrase, extent, regulations
35	6.24 - 7.4	[SEC. 10101.(a)(2)] (k)(1)(D)(iii)	COMPONENT MEMBER. For purposes of this subparagraph, the term ‘component member’ has the meaning given such term by section 1563(b), except that the determination shall be made without regard to section 1563(b)(2).	component, member, purposes, subparagraph, term, meaning, except, determination, regard
36	7.5 - 7.5	[SEC. 10101.(a)(2)] (k)(1)(E)	OTHER SPECIAL RULES.	special, rules
37	7.6 - 7.11	[SEC. 10101.(a)(2)] (k)(1)(E)(i)	CORPORATIONS IN EXISTENCE FOR LESS THAN 3 YEARS. If the corporation was in existence for less than 3-taxable years, subparagraph (B) shall be applied on the basis of the period during which such corporation was in existence.	corporations, existence, years, corporation, taxable, subparagraph, applied, basis, period
38	7.12 - 7.18	[SEC. 10101.(a)(2)] (k)(1)(E)(ii)	SHORT TAXABLE YEARS. Adjusted financial statement income for any taxable year of less than 12 months shall be annualized by multiplying the adjusted financial statement income for the short period by 12 and dividing the result by the number of months in the short period.	taxable, years, adjusted, financial, statement, income, months, annualized, multiplying, period, dividing, number
39	7.19 - 7.23	[SEC. 10101.(a)(2)] (k)(1)(E)(iii)	TREATMENT OF PREDECESSORS. Any reference in this subparagraph to a corporation shall include a reference to any predecessor of such corporation.	treatment, predecessors, reference, subparagraph, corporation, predecessor
40	7.24 - 7.25	[SEC. 10101.(a)(2)] (k)(2)	SPECIAL RULE FOR FOREIGN-PARENTED MULTINATIONAL GROUPS.	special, rule, foreign, parented, multinational
41	8.1 - 8.14	[SEC. 10101.(a)(2)] (k)(2)(A)	IN GENERAL. If a corporation is a member of a foreign-parented multinational group for any taxable year, then, solely for purposes of determining whether such corporation meets the average annual adjusted financial statement income test under paragraph (1)(B)(ii)(I) for such taxable year, the adjusted financial statement income of such corporation for such taxable year shall include the adjusted financial statement income of all members of such group. Solely for purposes of this subparagraph, adjusted financial statement income shall be determined without regard to paragraphs (2)(D)(i), (3), (4), and (11) of section 56A(c).	corporation, member, foreign, parented, multinational, group, taxable, solely, purposes, determining, meets, average, annual, adjusted, financial, statement, income, test
44	8.15 - 8.19	[SEC. 10101.(a)(2)] (k)(2)(B)	FOREIGN-PARENTED MULTINATIONAL GROUP. For purposes of subparagraph (A), the term ‘foreign-parented multinational group’ means, with respect to any taxable year, two or more entities if	foreign, parented, multinational, group, purposes, subparagraph, term, respect, taxable, entities
45	8.20 - 8.22	[SEC. 10101.(a)(2)] (k)(2)(B)(i)	at least one entity is a domestic corporation and another entity is a foreign corporation,	entity, domestic, corporation, foreign
46	8.23 - 8.25	[SEC. 10101.(a)(2)] (k)(2)(B)(ii)	such entities are included in the same applicable financial statement with respect to such year, and	entities, included, applicable, financial, statement, respect
47	9.1 - 9.1	[SEC. 10101.(a)(2)] (k)(2)(B)(iii)	either	
48	9.2 - 9.3	[SEC. 10101.(a)(2)] (k)(2)(B)(iii)(I)	the common parent of such entities is a foreign corporation, or	parent, entities, foreign, corporation
49	9.4 - 9.7	[SEC. 10101.(a)(2)] (k)(2)(B)(iii)(II)	if there is no common parent, the entities are treated as having a common parent which is a foreign corporation under subparagraph (D).	parent, entities, treated, foreign, corporation, subparagraph
50	9.8 - 9.15	[SEC. 10101.(a)(2)] (k)(2)(C)	FOREIGN CORPORATIONS ENGAGED IN A TRADE OR BUSINESS WITHIN THE UNITED STATES. For purposes of this paragraph, if a foreign corporation is engaged in a trade or business within the United States, such trade or business shall be treated as a separate domestic corporation that is wholly owned by the foreign corporation.	foreign, corporations, engaged, trade, business, united, states, purposes, corporation, treated, separate, domestic, wholly, owned
51	9.16 - 9.19	[SEC. 10101.(a)(2)] (k)(2)(D)	OTHER RULES. The Secretary shall, applying the principles of this section, prescribe rules for the application of this paragraph, including rules for the determination of	rules, secretary, applying, principles, prescribe, application, determination
52	9.20 - 9.23	[SEC. 10101.(a)(2)] (k)(2)(D)(i)	the entities (if any) which are to be to be treated under subparagraph (B)(iii)(II) as having a common parent which is a foreign corporation,	entities, treated, subparagraph
54	9.24 - 9.25	[SEC. 10101.(a)(2)] (k)(2)(D)(ii)	the entities to be included in a foreign-parented multinational group, and	entities, included, foreign, parented, multinational, group
55	10.1 - 10.2	[SEC. 10101.(a)(2)] (k)(2)(D)(iii)	the common parent of a foreignparented multinational group.	parent, foreignparented, multinational, group
56	10.3 - 10.6	[SEC. 10101.(a)(2)] (k)(3)	REGULATIONS OR OTHER GUIDANCE. The Secretary shall provide regulations or other guidance for the purposes of carrying out this subsection, including regulations or other guidance	regulations, guidance, secretary, purposes, carrying, subsection
57	10.7 - 10.12	[SEC. 10101.(a)(2)] (k)(3)(A)	providing a simplified method for determining whether a corporation meets the requirements of paragraph (1), and ‘‘’(B) addressing the application of this subsection to a corporation that experiences a change in ownership.’’.	providing, simplified, method, determining, corporation, meets, requirements, addressing, application, subsection, experiences, ownership
58	10.13 - 10.17	SEC. 10101.(a)(3)	REDUCTION FOR BASE EROSION AND ANTIABUSE TAX. Section 55(a)(2) is amended by inserting ‘‘plus, in the case of an applicable corporation, the tax imposed by section 59A’’ before the period at the end.	reduction, base, erosion, antiabuse, tax, amended, inserting, case, applicable, corporation, imposed, 59a, period
59	10.18 - 10.18	SEC. 10101.(a)(4)	CONFORMING AMENDMENTS.	conforming, amendments
60	10.19 - 10.21	SEC. 10101.(a)(4)(A)	Section 55(a) is amended by striking ‘‘In the case of a taxpayer other than a corporation, there’’ and inserting ‘‘There’’.	amended, striking, case, taxpayer, corporation, inserting
61	10.22 - 10.22	SEC. 10101.(a)(4)(B)(i)	Section 55(b)(1) is amended	amended
62	10.23 - 10.25	SEC. 10101.(a)(4)(B)(i)(I)	by striking so much as precedes subparagraph (A) and inserting the following:	striking, precedes, subparagraph, inserting
63	11.1 - 11.2	[SEC. 10101.(a)(4)(B)(i)(I)] (1)	NONCORPORATE TAXPAYERS. In the case of a taxpayer other than a corporation ’’, and	noncorporate, taxpayers, case, taxpayer, corporation
64	11.3 - 11.4	SEC. 10101.(a)(4)(B)(i)(II)	by adding at the end the following new subparagraph:	adding, new, subparagraph
65	11.5 - 11.8	[SEC. 10101.(a)(4)(B)(i)(II)] (D)	ALTERNATIVE MINIMUM TAXABLE INCOME. The term ‘alternative minimum taxable income’ means the taxable income of the taxpayer for the taxable year	alternative, minimum, taxable, income, term, taxpayer
66	11.9 - 11.10	[SEC. 10101.(a)(4)(B)(i)(II)] (D)(i)	determined with the adjustments provided in section 56 and section 58, and	determined, adjustments
67	11.11 - 11.20	[SEC. 10101.(a)(4)(B)(i)(II)] (D)(ii)	increased by the amount of the items of tax preference described in section 57. If a taxpayer is subject to the regular tax, such taxpayer shall be subject to the tax imposed by this section (and, if the regular tax is determined by reference to an amount other than taxable income, such amount shall be treated as the taxable income of such taxpayer for purposes of the preceding sentence).’’.	increased, amount, tax, preference, described, taxpayer, subject, regular, imposed, determined, reference, taxable, income, treated, purposes, preceding, sentence
68	11.21 - 11.22	SEC. 10101.(a)(4)(B)(ii)	Section 860E(a)(4) is amended by striking ‘‘55(b)(2)’’ and inserting ‘‘55(b)(1)(D)’’.	860e, amended, striking, inserting
69	11.23 - 11.24	SEC. 10101.(a)(4)(B)(iii)	Section 897(a)(2)(A)(i) is amended by striking ‘‘55(b)(2)’’ and inserting ‘‘55(b)(1)(D)’’.	amended, striking, inserting
70	12.1 - 12.4	SEC. 10101.(a)(4)(C)	Section 11(d) is amended by striking ‘‘the tax imposed by subsection (a)’’ and inserting ‘‘the taxes imposed by subsection (a) and section 55’’.	amended, striking, tax, imposed, subsection, inserting, taxes
71	12.5 - 12.6	SEC. 10101.(a)(4)(D)	Section 12 is amended by adding at the end the following new paragraph:	amended, adding, new
72	12.7 - 12.8	[SEC. 10101.(a)(4)(D)] (5)	For alternative minimum tax, see section 55.’’.	alternative, minimum, tax
73	12.9 - 12.10	SEC. 10101.(a)(4)(E)	Section 882(a)(1) is amended by inserting ‘‘, 55,’’ after ‘‘section 11’’.	amended, inserting
74	12.11 - 12.12	SEC. 10101.(a)(4)(F)	Section 6425(c)(1)(A) is amended to read as follows:	amended, follows
75	12.13 - 12.13	[SEC. 10101.(a)(4)(F)] (A)	the sum of	sum
76	12.14 - 12.16	[SEC. 10101.(a)(4)(F)] (A)(i)	the tax imposed by section 11 or subchapter L of chapter 1, whichever is applicable, plus	tax, imposed, whichever, applicable
77	12.17 - 12.18	[SEC. 10101.(a)(4)(F)] (A)(ii)	the tax imposed by section 55, plus	tax, imposed
78	12.19 - 12.20	[SEC. 10101.(a)(4)(F)] (A)(iii)	the tax imposed by section 59A, over’’.	tax, imposed, 59a
79	12.21 - 12.25	SEC. 10101.(a)(4)(G)	Section 6655(e)(2) is amended by inserting ‘‘, adjusted financial statement income (as defined in section 56A),’’ before ‘‘and modified taxable income’’ each place it appears in subparagraphs (A)(i) and (B)(i).	amended, inserting, adjusted, financial, statement, income, defined, 56a, modified, taxable, appears, subparagraphs
80	13.1 - 13.4	SEC. 10101.(a)(4)(H)	Section 6655(g)(1)(A) is amended by redesignating clauses (ii) and (iii) as clauses (iii)  and (iv), respectively, and by inserting after clause (i) the following new clause:	amended, redesignating, clauses, iii
82	13.5 - 13.5	[SEC. 10101.(a)(4)(H)] (ii)	the tax imposed by section 55,’’.	tax, imposed
83	13.6 - 13.6	SEC. 10101.(b)	ADJUSTED FINANCIAL STATEMENT INCOME.	adjusted, financial, statement, income
84	13.7 - 13.9	SEC. 10101.(b)(1)	IN GENERAL. Part VI of subchapter A of chapter 1 is amended by inserting after section 56 the following new section:	vi, amended, inserting, new
85	13.10 - 13.10	[SEC. 10101.(b)(1)] SEC. 56A.	ADJUSTED FINANCIAL STATEMENT INCOME.	adjusted, financial, statement, income
86	13.11 - 13.16	[SEC. 10101.(b)(1)] SEC. 56A.(a)	IN GENERAL. For purposes of this part, the term ‘adjusted financial statement income’ means, with respect to any corporation for any taxable year, the net income or loss of the taxpayer set forth on the taxpayer’s applicable financial statement for such taxable year, adjusted as provided in this section.	purposes, term, adjusted, financial, statement, income, respect, corporation, taxable, loss, taxpayer, forth, taxpayer’s, applicable
87	13.17 - 13.22	[SEC. 10101.(b)(1)] SEC. 56A.(b)	APPLICABLE FINANCIAL STATEMENT. For purposes of this section, the term ‘applicable financial statement’ means, with respect to any taxable year, an applicable financial statement (as defined in section 451(b)(3) or as specified by the Secretary in regulations or other guidance) which covers such taxable year.	applicable, financial, statement, purposes, term, respect, taxable, defined, specified, secretary, regulations, guidance, covers
88	13.23 - 13.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)	GENERAL ADJUSTMENTS.	adjustments
89	13.24 - 14.3	[SEC. 10101.(b)(1)] SEC. 56A.(c)(1)	STATEMENTS COVERING DIFFERENT TAXABLE YEARS. Appropriate adjustments shall be made in adjusted financial statement income in any case in which an applicable financial statement covers a period other than the taxable year.	statements, covering, taxable, years, appropriate, adjustments, adjusted, financial, statement, income, case, applicable, covers, period
90	14.4 - 14.4	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)	SPECIAL RULES FOR RELATED ENTITIES.	special, rules, related, entities
91	14.5 - 14.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(A)	CONSOLIDATED FINANCIAL STATEMENTS. If the financial results of a taxpayer are reported on the applicable financial statement for a group of entities, rules similar to the rules of section 451(b)(5) shall apply.	consolidated, financial, statements, results, taxpayer, reported, applicable, statement, group, entities, rules, apply
92	14.10 - 14.18	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(B)	CONSOLIDATED RETURNS. Except as provided in regulations prescribed by the Secretary, if the taxpayer is part of an affiliated group of corporations filing a consolidated return for any taxable year, adjusted financial statement income for such group for such taxable year shall take into account items on the group’s applicable financial statement which are properly allocable to members of such group.	consolidated, returns, except, regulations, prescribed, secretary, taxpayer, affiliated, group, corporations, filing, return, taxable, adjusted, financial, statement, income, account, group’s, applicable, properly, allocable, members
93	14.19 - 15.8	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(C)	TREATMENT OF DIVIDENDS AND OTHER AMOUNTS. In the case of any corporation which is not included on a consolidated return with the taxpayer, adjusted financial statement income of the taxpayer with respect to such other corporation shall be determined by only taking into account the dividends received from such other corporation (reduced to the extent provided by the Secretary in regulations or other guidance) and other amounts which are includible in gross income or deductible as a loss under this chapter (other than amounts required to be included under sections 951 and 951A or such other amounts as provided by the Secretary) with respect to such other corporation.	treatment, dividends, amounts, case, corporation, included, consolidated, return, taxpayer, adjusted, financial, statement, income, respect, determined, taking, account, reduced, extent, secretary, regulations, guidance, includible, gross, deductible, loss, required, sections, 951a
94	15.9 - 15.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(D)	TREATMENT OF PARTNERSHIPS.	treatment, partnerships
95	15.10 - 15.17	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(D)(i)	IN GENERAL. Except as provided by the Secretary, if the taxpayer is a partner in a partnership, adjusted financial statement income of the taxpayer with respect to such partnership shall be adjusted to only take into account the taxpayer’s distributive share of adjusted financial statement income of such partnership.	except, secretary, taxpayer, partner, partnership, adjusted, financial, statement, income, respect, account, taxpayer’s, distributive
96	15.18 - 15.25	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(D)(ii)	ADJUSTED FINANCIAL STATEMENT INCOME OF PARTNERSHIPS. For the purposes of this part, the adjusted financial statement income of a partnership shall be the partnership’s net income or loss set forth on such partnership’s applicable financial statement (adjusted under rules similar to the rules of this section).	adjusted, financial, statement, income, partnerships, purposes, partnership, partnership’s, loss, forth, applicable, rules
97	16.1 - 16.2	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)	ADJUSTMENTS TO TAKE INTO ACCOUNT CERTAIN ITEMS OF FOREIGN INCOME.	adjustments, account, certain, foreign, income
98	16.3 - 16.19	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(A)	IN GENERAL. If, for any taxable year, a taxpayer is a United States shareholder of one or more controlled foreign corporations, the adjusted financial statement income of such taxpayer with respect to such controlled foreign corporation (as determined under paragraph (2)(C)) shall be adjusted to also take into account such taxpayer’s pro rata share (determined under rules similar to the rules under section 951(a)(2)) of items taken into account in computing the net income or loss set forth on the applicable financial statement (as adjusted under rules similar to those that apply in determining adjusted financial statement income) of each such controlled foreign corporation with respect to which such taxpayer is a United States shareholder.	taxable, taxpayer, united, states, shareholder, controlled, foreign, corporations, adjusted, financial, statement, income, respect, corporation, determined
100	16.20 - 16.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(B)	NEGATIVE ADJUSTMENTS. In any case in which the adjustment determined under subparagraph (A) would result in a negative adjustment for such taxable year	negative, adjustments, case, adjustment, determined, subparagraph, taxable
101	17.1 - 17.3	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(B)(i)	no adjustment shall be made under this paragraph for such taxable year, and	adjustment, taxable
102	17.4 - 17.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(B)(ii)	the amount of the adjustment determined under this paragraph for the succeeding taxable year (determined without regard to this paragraph) shall be reduced by an amount equal to the negative adjustment for such taxable year.	amount, adjustment, determined, succeeding, taxable, regard, reduced, equal, negative
103	17.10 - 17.13	[SEC. 10101.(b)(1)] SEC. 56A.(c)(4)	EFFECTIVELY CONNECTED INCOME. In the case of a foreign corporation, to determine adjusted financial statement income, the principles of section 882 shall apply.	effectively, connected, income, case, foreign, corporation, determine, adjusted, financial, statement, principles, apply
104	17.14 - 18.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(5)	ADJUSTMENTS FOR CERTAIN TAXES. Adjusted financial statement income shall be appropriately adjusted to disregard any Federal income taxes, or income, war profits, or excess profits taxes (within the meaning of section 901) with respect to a foreign country or possession of the United States, which are taken into account on the taxpayer’s applicable financial statement. To the extent provided by the Secretary, the preceding sentence shall not apply to income, war profits, or excess profits taxes (within the meaning of section 901) that are imposed by a foreign country or possession of the United States and taken into account on the taxpayer’s applicable financial statement if the taxpayer does not choose to have the benefits of subpart A of part III of subchapter N for the taxable year. The Secretary shall prescribe such regulations or other guidance as may be necessary and appropriate to provide for the proper treatment of current and deferred taxes for purposes of this paragraph, including the time at which such taxes are properly taken into account.	adjustments, certain, taxes, adjusted, financial, statement, income, appropriately, disregard, federal, profits, excess, meaning, respect, foreign, country, possession, united, states, account, taxpayer’s, applicable, extent, secretary, preceding, sentence, apply, imposed, taxpayer, benefits, subpart, iii, taxable, prescribe, regulations, guidance, necessary, appropriate, proper, treatment, deferred, purposes, properly
105	18.10 - 18.14	[SEC. 10101.(b)(1)] SEC. 56A.(c)(6)	ADJUSTMENT WITH RESPECT TO DISREGARDED ENTITIES. Adjusted financial statement income shall be adjusted to take into account any adjusted financial statement income of a disregarded entity owned by the taxpayer.	adjustment, respect, disregarded, entities, adjusted, financial, statement, income, account, entity, owned, taxpayer
106	18.15 - 18.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)(7)	SPECIAL RULE FOR COOPERATIVES. In the case of a cooperative to which section 1381 applies, the adjusted financial statement income (determined without regard to this paragraph) shall be reduced by the amounts referred to in section 1382(b) (relating to patronage dividends and per-unit retain allocations) to the extent such amounts were not otherwise taken into account in determining adjusted financial statement income.	special, rule, cooperatives, case, cooperative, applies, adjusted, financial, statement, income, determined, regard, reduced, amounts, referred, relating, patronage, dividends, unit, retain, allocations, extent, otherwise, account, determining
107	19.1 - 19.3	[SEC. 10101.(b)(1)] SEC. 56A.(c)(8)	RULES FOR ALASKA NATIVE CORPORATIONS. Adjusted financial statement income shall be appropriately adjusted to allow	rules, alaska, native, corporations, adjusted, financial, statement, income, appropriately, allow
108	19.4 - 19.7	[SEC. 10101.(b)(1)] SEC. 56A.(c)(8)(A)	cost recovery and depletion attributable to property the basis of which is determined under section 21(c) of the Alaska Native Claims Settlement Act (43 U.S.C. 1620(c)), and	cost, recovery, depletion, attributable, property, basis, determined, alaska, native, claims, settlement, act, u.s.c
109	19.8 - 19.12	[SEC. 10101.(b)(1)] SEC. 56A.(c)(8)(B)	deductions for amounts payable made pursuant to section 7(i) or section 7(j) of such Act (43 U.S.C. 1606(i) and 1606(j)) only at such time as the deductions are allowed for tax purposes.	deductions, amounts, payable, pursuant, act, u.s.c, allowed, tax, purposes
110	19.13 - 19.20	[SEC. 10101.(b)(1)] SEC. 56A.(c)(9)	AMOUNTS ATTRIBUTABLE TO ELECTIONS FOR DIRECT PAYMENT OF CERTAIN CREDITS. Adjusted financial statement income shall be appropriately adjusted to disregard any amount treated as a payment against the tax imposed by subtitle A pursuant to an election under section 48D(d) or 6417, to the extent such amount was not otherwise taken into account under paragraph (5).	amounts, attributable, elections, direct, payment, certain, credits, adjusted, financial, statement, income, appropriately, disregard, amount, treated, tax, imposed, subtitle, pursuant, election, 48d, extent, otherwise, account
111	19.21 - 19.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)(10)	CONSISTENT TREATMENT OF MORTGAGE SERVICING INCOME OF TAXPAYER OTHER THAN A REGULATED INVESTMENT COMPANY.	consistent, treatment, mortgage, servicing, income, taxpayer, regulated, investment, company
112	19.24 - 20.4	[SEC. 10101.(b)(1)] SEC. 56A.(c)(10)(A)	IN GENERAL. Adjusted financial statement income shall be adjusted so as not to include any item of income in connection with a mortgage servicing contract any earlier than when such income is included in gross income under any other provision of this chapter.	adjusted, financial, statement, income, connection, mortgage, servicing, contract, earlier, included, gross, provision
113	20.5 - 20.11	[SEC. 10101.(b)(1)] SEC. 56A.(c)(10)(B)	RULES FOR AMOUNTS NOT REPRESENTING REASONABLE COMPENSATION. The Secretary shall provide regulations to prevent the avoidance of taxes imposed by this chapter with respect to amounts not representing reasonable compensation (as determined by the Secretary) with respect to a mortgage servicing contract.	rules, amounts, representing, reasonable, compensation, secretary, regulations, prevent, avoidance, taxes, imposed, respect, determined, mortgage, servicing, contract
114	20.12 - 20.13	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)	ADJUSTMENT WITH RESPECT TO DEFINED BENEFIT PENSIONS.	adjustment, respect, defined, benefit, pensions
115	20.14 - 20.17	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(A)	IN GENERAL. Except as otherwise provided in rules prescribed by the Secretary in regulations or other guidance, adjusted financial statement income shall be	except, otherwise, rules, prescribed, secretary, regulations, guidance, adjusted, financial, statement, income
