Item	Page_Lines	Para	Text	Keywords
14	3.15 - 3.15	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)(i)	removed from any refinery,	removed, refinery
15	3.16 - 3.16	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)(ii)	removed from any terminal, or	removed, terminal
16	3.17 - 3.18	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(B)(iii)	entered into the United States for consumption, use, or warehousing, and	entered, united, states, consumption, warehousing
17	3.19 - 3.19	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(C)	natural gas—	natural, gas
18	3.20 - 4.2	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(C)(i)	delivered to an end user by any person required to submit form 176 of the Energy Information Administration (or a successor form), or	delivered, required, submit, form, energy, information, administration, successor
19	4.3 - 4.4	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(1)(C)(ii)	sold in the United States by any processor not described in clause (i).	sold, united, states, processor, described, clause
20	4.5 - 4.13	[TITLE I SEC. 101.(a)] SEC. 4691.(a)(2)	RATE.—The rate specified in this paragraph with respect to any product described in paragraph (1) is an amount equal to the applicable amount per ton of carbon dioxide that would be emitted through the combustion of such product, as determined by the Secretary, in consultation with the Secretary of Energy and the Administrator of the Environmental Protection Agency (referred to in this section as the ‘Administrator’).	rate, specified, paragraph, respect, product, described, amount, equal, applicable, ton, carbon, dioxide, emitted, combustion, determined, secretary, consultation, energy, administrator, environmental, protection, agency, referred
21	4.14 - 4.14	[TITLE I SEC. 101.(a)] SEC. 4691.(b)	APPLICABLE AMOUNT.—	applicable, amount
22	4.15 - 4.16	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)	IN GENERAL.—For purposes of this part, the applicable amount is—	general, purposes, applicable, amount
23	4.17 - 4.17	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(A)	for calendar year 2023, $54, and	calendar
24	4.18 - 4.20	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(B)	subject to paragraph (3), for calendar year 2024 and any subsequent calendar year, the sum of—	subject, paragraph, calendar, subsequent, sum
25	4.21 - 4.23	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(B)(i)	the product of the amount in effect under this paragraph for the preceding calendar year and 106 percent, and	product, amount, effect, paragraph, preceding, calendar
26	4.24 - 4.25	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(1)(B)(ii)	the inflation adjustment amount determined under paragraph (2).	inflation, adjustment, amount, determined, paragraph
27	5.1 - 5.1	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)	INFLATION ADJUSTMENT AMOUNT.—	inflation, adjustment, amount
28	5.2 - 5.5	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(A)	IN GENERAL.—The inflation adjustment amount for any calendar year shall be an amount (not less than zero) equal to the product of—	general, inflation, adjustment, amount, calendar, zero, equal, product
29	5.6 - 5.8	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(A)(i)	the amount in effect under paragraph (1) for the preceding calendar year, and	amount, effect, paragraph, preceding, calendar
30	5.9 - 5.12	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(A)(ii)	the percentage by which the CPI for the preceding calendar year exceeds the CPI for the second preceding calendar year.	percentage, cpi, preceding, calendar, exceeds
31	5.13 - 5.15	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(2)(B)	CPI.—Rules similar to the rules of paragraphs (4) and (5) of section 1(f) shall apply for purposes of this paragraph.	cpi, rules, paragraphs, apply, purposes, paragraph
32	5.16 - 5.17	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)	ENVIRONMENTAL INTEGRITY MECHANISM.—	environmental, integrity, mechanism
33	5.18 - 6.2	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(A)	IN GENERAL.—With respect to calendar year 2024 and any subsequent calendar year, the Secretary shall, not later than September 30 of each such year, make a determination based upon the report described in paragraph (5) with regard to whether the cumulative emissions for the applicable period exceeded the cumulative emissions target for such period.	general, respect, calendar, subsequent, secretary, september, determination, report, described, paragraph, regard, cumulative, emissions, applicable, period, exceeded, target
34	6.3 - 6.13	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(B)	EXCEEDING CUMULATIVE EMISSIONS TARGET.—If the Secretary determines, pursuant to subparagraph (A), that the cumulative emissions for the applicable period exceeded the cumulative emissions target for such period, the applicable amount for the calendar year beginning after such determination shall be equal to the product of the amount otherwise in effect (without application of this paragraph) under paragraph (1)(B) for such calendar year and 105 percent.	exceeding, cumulative, emissions, target, secretary, determines, pursuant, subparagraph, applicable, period, exceeded, amount, calendar, beginning, determination, equal, product, otherwise, effect, application, paragraph
35	6.14 - 6.14	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)	DEFINITIONS.—In this paragraph:	definitions, paragraph
36	6.15 - 6.19	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(i)	APPLICABLE PERIOD.—The term ‘applicable period’ means, with respect to any determination made by the Secretary under this paragraph for any calendar year, the period—	applicable, period, term, respect, determination, secretary, paragraph, calendar
37	6.20 - 6.21	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(i)(I)	beginning on January 1, 2023, and	beginning, january
38	6.22 - 6.23	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(i)(II)	ending on December 31 of the preceding calendar year.	ending, december, preceding, calendar
39	6.24 - 7.5	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(ii)	CUMULATIVE EMISSIONS.—The term ‘cumulative emissions’ means an amount equal to the sum of the net total anthropogenic greenhouse gas emissions and sinks for all years during the applicable period, as determined by the Administrator pursuant to paragraph (5).	cumulative, emissions, term, amount, equal, sum, total, anthropogenic, greenhouse, gas, sinks, years, applicable, period, determined, administrator, pursuant, paragraph
40	7.6 - 7.10	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iii)	CUMULATIVE EMISSIONS TARGET.—The term ‘cumulative emissions target’ means an amount equal to the sum of the annual emissions targets for all years during the applicable period.	cumulative, emissions, target, term, amount, equal, sum, annual, targets, years, applicable, period
41	7.11 - 7.14	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)	ANNUAL EMISSIONS TARGET.— The term ‘annual emissions target’ means, with respect to any calendar year, an amount equal to the product of—	annual, emissions, target, term, respect, calendar, amount, equal, product
42	7.15 - 7.20	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)(I)	net total anthropogenic greenhouse gas emissions and sinks for 2019, as determined by the Administrator pursuant to paragraph (5) (to the extent the methodology under such paragraph is applicable), and	total, anthropogenic, greenhouse, gas, emissions, sinks, determined, administrator, pursuant, paragraph, extent, methodology, applicable
43	7.21 - 7.23	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(3)(C)(iv)(II)	the applicable percentage for such year, as determined under paragraph (4).	applicable, percentage, determined, paragraph
44	7.24 - 7.24	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)	APPLICABLE PERCENTAGE.—	applicable, percentage
45	8.1 - 8.3	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(A)	2023.—In the case of calendar year 2023, the applicable percentage shall be 72 percent.	case, calendar, applicable, percentage
46	8.4 - 8.6	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)	2024 THROUGH 2035.—In the case of calendar years 2024 through 2035, the applicable percentage shall be equal to—	case, calendar, years, applicable, percentage, equal
47	8.7 - 8.8	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)(i)	the applicable percentage for the preceding year, minus	applicable, percentage, preceding, minus
48	8.9 - 8.9	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(B)(ii)	2 percentage points.	percentage
49	8.10 - 8.12	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)	2036 THROUGH 2050.—In the case of calendar years 2036 through 2050, the applicable percentage shall be equal to—	case, calendar, years, applicable, percentage, equal
50	8.13 - 8.14	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)(i)	the applicable percentage for the preceding year, minus	applicable, percentage, preceding, minus
51	8.15 - 8.15	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(C)(ii)	3.2 percentage points.	percentage
52	8.16 - 8.18	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(4)(D)	AFTER 2050.—In the case of any calendar year beginning after 2050, the applicable percentage shall be equal to zero.	case, calendar, beginning, applicable, percentage, equal, zero
53	8.19 - 8.19	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)	EMISSIONS REPORTING.—	emissions, reporting
54	8.20 - 8.25	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(A)	IN GENERAL.—Not later than September 30, 2024, and annually thereafter, the Administrator, in consultation with the Secretary, shall make available to the public a report on the cumulative emissions during the applicable period.	general, september, annually, thereafter, administrator, consultation, secretary, available, public, report, cumulative, emissions, applicable, period
55	9.1 - 9.4	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)	METHODOLOGY.—Not later than January 1, 2023, the Administrator shall prescribe rules for quantifying cumulative emissions under subparagraph (A), which shall—	methodology, january, administrator, prescribe, rules, quantifying, cumulative, emissions, subparagraph
56	9.5 - 9.14	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(i)	to the greatest extent practicable, employ existing data sources and accepted greenhouse gas accounting practices, while also allowing for use of state-of-the-art techniques to measure or estimate sources and sinks of greenhouse gas emissions which are not subject to fees under this subchapter, as the Administrator deems appropriate to meet the goals of this subparagraph,	greatest, extent, practicable, employ, existing, data, sources, accepted, greenhouse, gas, accounting, practices, allowing, state, techniques, measure, estimate, sinks, emissions, subject, fees, subchapter, administrator, deems, appropriate, goals, subparagraph
57	9.15 - 9.24	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(ii)	subject to such penalties as are determined appropriate by the Administrator, require any entity subject to fees or refunds under this subchapter to report, not later than April 1 of each calendar year, the total quantity of greenhouse gas emissions subject to fees or refunds under this subchapter for which such entity was liable during the preceding calendar year, and	subject, penalties, determined, appropriate, administrator, require, entity, fees, refunds, subchapter, report, april, calendar, total, quantity, greenhouse, gas, emissions, liable, preceding
58	10.1 - 10.8	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(B)(iii)	require any information reported pursuant to clause (ii) to be verified by a third-party entity that, subject to such process as is determined appropriate by the Administrator, has been certified by the Administrator with respect to the qualifications, independence, and reliability of such entity.	require, information, reported, pursuant, clause, verified, entity, subject, process, determined, appropriate, administrator, certified, respect, qualifications, independence, reliability
59	10.9 - 10.15	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(5)(C)	GREENHOUSE GAS REPORTING PROGRAM.—For purposes of establishing the rules described in subparagraph (B), the Administrator may elect to modify the activities of the Greenhouse Gas Reporting Program to satisfy the requirements described in clauses (i) through (iii) of such subparagraph.	greenhouse, gas, reporting, program, purposes, establishing, rules, described, subparagraph, administrator, may, elect, modify, activities, satisfy, requirements, clauses, iii
60	10.16 - 10.18	[TITLE I SEC. 101.(a)] SEC. 4691.(b)(6)	ROUNDING.—The applicable amount under this subsection shall be rounded up to the next whole dollar amount.	rounding, applicable, amount, subsection, rounded, dollar
61	10.19 - 10.20	[TITLE I SEC. 101.(a)] SEC. 4691.(c)	REFUNDS FOR CAPTURING CARBON DIOXIDE AND PRODUCTION OF CERTAIN GOODS.—	refunds, capturing, carbon, dioxide, production, certain, goods
62	10.21 - 10.22	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)	CARBON DIOXIDE CAPTURE, UTILIZATION, AND STORAGE.—	carbon, dioxide, capture, utilization, storage
63	10.23 - 10.24	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)	IN GENERAL.—In the case of a person who—	general, case
64	11.1 - 11.5	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(i)	uses any coal, petroleum product, or natural gas for which a fee has been imposed under subsection (a)(1) in a manner which results in the emission of qualified carbon dioxide,	uses, coal, petroleum, product, natural, gas, fee, imposed, subsection, manner, results, emission, qualified, carbon, dioxide
65	11.6 - 11.8	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(ii)	captures the resulting emitted qualified carbon dioxide at a qualified facility which is owned by such person, and	captures, resulting, emitted, qualified, carbon, dioxide, facility, owned
66	11.9 - 11.12	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(iii)(I)	disposes of such qualified carbon dioxide in secure storage in compliance with Treasury Decision 9944 (86 Fed. Reg. 4728), or	disposes, qualified, carbon, dioxide, secure, storage, compliance, treasury, decision, fed, reg
67	11.13 - 11.19	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(A)(iii)(II)	utilizes such qualified carbon dioxide in a manner provided in subparagraph (D), there shall be allowed a refund, in the same manner as if it were an overpayment of the fee imposed by such subsection, to such person in the amount determined under subparagraph (B).	utilizes, qualified, carbon, dioxide, manner, subparagraph, allowed, refund, overpayment, fee, imposed, subsection, amount, determined
69	11.21 - 11.23	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)	AMOUNT OF REFUND.—The amount of the refund under this subparagraph is an amount equal to the product of—	amount, refund, subparagraph, equal, product
70	11.24 - 12.2	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)(i)	the applicable amount under subsection (b) for the calendar year in which such qualified carbon dioxide was captured and disposed or utilized, and	applicable, amount, subsection, calendar, qualified, carbon, dioxide, captured, disposed, utilized
71	12.3 - 12.5	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(B)(ii)	the adjusted tons of qualified carbon dioxide captured and disposed or utilized.	adjusted, tons, qualified, carbon, dioxide, captured, disposed, utilized
72	12.6 - 12.16	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(C)	ADJUSTED TOTAL TONS.—For purposes of subparagraph (B), the adjusted tons of qualified carbon dioxide captured and disposed or utilized shall be the total tons of qualified carbon dioxide captured and disposed or utilized reduced by the amount of any anticipated leakage of carbon dioxide into the atmosphere due to imperfect storage technology or otherwise, as determined by the Secretary in consultation with the Administrator of the Environmental Protection Agency.	adjusted, total, tons, purposes, subparagraph, qualified, carbon, dioxide, captured, disposed, utilized, reduced, amount, anticipated, leakage, atmosphere, imperfect, storage, technology, otherwise, determined, secretary, consultation, administrator, environmental, protection, agency
73	12.17 - 12.17	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)	REQUIREMENTS.—	requirements
74	12.18 - 12.22	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(i)	IN GENERAL.—Any refund under subparagraph (A) shall apply only with respect to qualified carbon dioxide that has been captured and disposed or utilized within the United States.	general, refund, subparagraph, apply, respect, qualified, carbon, dioxide, captured, disposed, utilized, united, states
75	12.23 - 13.5	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(ii)	RECAPTURE.—The Secretary shall, by regulations, provide for recapturing the benefit of any refund made under subparagraph (A) with respect to any qualified carbon dioxide which is disposed in secure storage and ceases to be stored in a manner consistent with the requirements of this section.	recapture, secretary, regulations, recapturing, benefit, refund, subparagraph, respect, qualified, carbon, dioxide, disposed, secure, storage, ceases, stored, manner, consistent, requirements
76	13.6 - 13.19	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iii)	UTILIZATION.—The Secretary, in consultation with the Secretary of Energy and the Administrator of the Environmental Protection Agency, shall establish regulations providing for the appropriate methods and manners for the utilization of qualified carbon dioxide under subparagraph (A)(iii)(II), including the utilization of captured carbon dioxide for the production of substances such as plastics and chemicals. Such regulations shall provide for the minimization of the escape or further emission of the qualified carbon dioxide into the atmosphere.	utilization, secretary, consultation, energy, administrator, environmental, protection, agency, establish, regulations, providing, appropriate, methods, manners, qualified, carbon, dioxide, subparagraph, iii, captured, production, substances, plastics, chemicals, minimization, escape, emission, atmosphere
77	13.20 - 13.23	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iv)	EXCEPTION.—No refund shall be allowed under this paragraph with respect to any carbon dioxide which is utilized in—	exception, refund, allowed, paragraph, respect, carbon, dioxide, utilized
78	13.24 - 13.25	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iv)(I)	enhanced oil or gas recovery, or	enhanced, oil, gas, recovery
79	14.1 - 14.4	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(D)(iv)(II)	the production of fuels or any other substance which will be combusted or otherwise release greenhouse gases into the atmosphere.	production, fuels, substance, combusted, otherwise, release, greenhouse, gases, atmosphere
80	14.5 - 14.7	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)	QUALIFIED CARBON DIOXIDE; QUALIFIED FACILITY.—For purposes of this paragraph—	qualified, carbon, dioxide, facility, purposes, paragraph
81	14.8 - 14.8	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)	QUALIFIED CARBON DIOXIDE.—	qualified, carbon, dioxide
82	14.9 - 14.12	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(I)	IN GENERAL.—The term ‘qualified carbon dioxide’ means carbon dioxide captured from an industrial source which—	general, term, qualified, carbon, dioxide, captured, industrial, source
83	14.13 - 14.16	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(I)(aa)	would otherwise be released into the atmosphere as industrial emission of greenhouse gas, and	otherwise, released, atmosphere, industrial, emission, greenhouse, gas
84	14.17 - 14.20	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(I)(bb)	is measured at the source of capture and verified at the point of disposal, injection, or utilization.	measured, source, capture, verified, point, disposal, injection, utilization
85	14.21 - 15.4	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(i)(II)	RECYCLED CARBON DIOXIDE.—The term ‘qualified carbon dioxide’ includes the initial deposit of captured carbon dioxide used as a tertiary injectant. Such term does not include carbon dioxide that is recaptured, recycled, and re-injected as part of the enhanced oil and natural gas recovery process.	recycled, carbon, dioxide, term, qualified, initial, deposit, captured, tertiary, injectant, recaptured, injected, enhanced, oil, natural, gas, recovery, process
86	15.5 - 15.8	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(1)(E)(ii)	QUALIFIED FACILITY.—The term ‘qualified facility’ means any industrial facility at which carbon capture equipment is placed in service.	qualified, facility, term, industrial, carbon, capture, equipment, placed, service
87	15.9 - 15.9	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)	MANUFACTURE OF CERTAIN GOODS.—	manufacture, certain, goods
88	15.10 - 15.25	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)	IN GENERAL.—In the case of a person who uses any coal, petroleum product, or natural gas for which a fee has been imposed under subsection (a)(1) as an input for a manufactured good (other than a product described in subparagraph (B)) that encapsulates any of the carbon dioxide that would have otherwise been emitted through combustion of such coal, petroleum product, or gas in a manner such that it does not result in the direct emission of carbon dioxide in the manufacturing or subsequent use of such good, a refund shall be allowed to such person in the same manner as if it were an overpayment of the fee imposed by such section in an amount that is equal to the product of—	general, case, uses, coal, petroleum, product, natural, gas, fee, imposed, subsection, input, manufactured, described, subparagraph, encapsulates, carbon, dioxide, otherwise, emitted, combustion, manner, direct, emission, manufacturing, subsequent, refund, allowed, overpayment, amount, equal
89	16.1 - 16.4	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)(i)	an amount equal to the applicable amount under subsection (b) for the calendar year in which such good was produced, and	amount, equal, applicable, subsection, calendar, produced
90	16.5 - 16.8	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(A)(ii)	the total tons of carbon dioxide that would have otherwise been emitted through the combustion of such coal, petroleum product, or gas.	total, tons, carbon, dioxide, otherwise, emitted, combustion, coal, petroleum, product, gas
91	16.9 - 16.10	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)	EXCLUSION.—The products described in this subparagraph are—	exclusion, products, described, subparagraph
92	16.11 - 16.12	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)(i)	single-use plastic products (as defined in section 4696(a)(8)), and	plastic, products, defined
93	16.13 - 16.18	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(2)(B)(ii)	products which are commonly disposed of through incineration with a resulting release of carbon dioxide (as identified by the Secretary, in consultation with the Administrator of the Environmental Protection Agency).	products, commonly, disposed, incineration, resulting, release, carbon, dioxide, identified, secretary, consultation, administrator, environmental, protection, agency
94	16.19 - 17.3	[TITLE I SEC. 101.(a)] SEC. 4691.(c)(3)	EXPORTS.—In the case of a person who exports any coal, petroleum product, or natural gas from the United States for which a fee has been imposed under subsection (a)(1), a refund shall be allowed to such person in the same manner as if it were an overpayment of the fee imposed by such section in an amount that is equal to the fee previously imposed under such subsection with respect to such product (determined without regard to any increase under section 4694).	exports, case, coal, petroleum, product, natural, gas, united, states, fee, imposed, subsection, refund, allowed, manner, overpayment, amount, equal, previously, respect, determined, regard, increase
95	17.4 - 17.4	[TITLE I SEC. 101.(a)] SEC. 4692.	FEE ON FLUORINATED GREENHOUSE GASES.	fee, fluorinated, greenhouse, gases
96	17.5 - 17.7	[TITLE I SEC. 101.(a)] SEC. 4692.(a)	IN GENERAL.—There is hereby imposed a fee in an amount determined under subsection (b) on fluorinated greenhouse gases—	general, hereby, imposed, fee, amount, determined, subsection, fluorinated, greenhouse, gases
97	17.8 - 17.9	[TITLE I SEC. 101.(a)] SEC. 4692.(a)(1)	produced at a fluorinated greenhouse gas production facility, or	produced, fluorinated, greenhouse, gas, production, facility
98	17.10 - 17.11	[TITLE I SEC. 101.(a)] SEC. 4692.(a)(2)	imported into the United States by a fluorinated greenhouse gas importer.	imported, united, states, fluorinated, greenhouse, gas, importer
99	17.12 - 17.16	[TITLE I SEC. 101.(a)] SEC. 4692.(b)	AMOUNT OF FEE.—The amount of fee imposed by subsection (a) shall be equal to the applicable percentage (as defined in subsection (c)(4)) of the applicable amount determined under section 4691(b) per ton of carbon dioxide equivalent produced or imported.	amount, fee, imposed, subsection, equal, applicable, percentage, defined, determined, ton, carbon, dioxide, equivalent, produced, imported
100	17.17 - 17.17	[TITLE I SEC. 101.(a)] SEC. 4692.(c)	DEFINITIONS.—For purposes of this section—	definitions, purposes
101	17.18 - 18.2	[TITLE I SEC. 101.(a)] SEC. 4692.(c)(1)	FLUORINATED GREENHOUSE GASES.—The term ‘fluorinated greenhouse gases’ means sulfur hexafluoride (SF6), nitrogen trifluoride (NF3), any hydrofluorocarbon, any perfluorocarbon, any fully fluorinated linear, branched or cyclic alkane, ether, tertiary amine or aminoether, any perfluoropolyether, any hydrofluoropolyether, and any other fluorocarbon except for substances with vapor pressures of less than 1 mm of Hg absolute at 25 degrees Celsius.	fluorinated, greenhouse, gases, term, sulfur, hexafluoride, sf6, nitrogen, trifluoride, nf3, hydrofluorocarbon, perfluorocarbon, fully, linear, branched, cyclic, alkane, ether, tertiary, amine, aminoether, perfluoropolyether, hydrofluoropolyether, fluorocarbon, except, substances, vapor, pressures, mm, hg, absolute, degrees, celsius
102	18.3 - 18.9	[TITLE I SEC. 101.(a)] SEC. 4692.(c)(2)	FLUORINATED GREENHOUSE GAS PRODUCTION FACILITY.—The term ‘fluorinated greenhouse gas production facility’ means any facility which is included under the industrial gas supplier source category under subpart OO of part 98 of title 40, Code of Federal Regulations, as in effect on the date of the enactment of the Save Our Future Act.	fluorinated, greenhouse, gas, production, facility, term, included, industrial, supplier, source, category, subpart, oo, title, code, federal, regulations, effect, enactment, future, act
103	18.10 - 18.12	[TITLE I SEC. 101.(a)] SEC. 4692.(c)(3)	FLUORINATED GREENHOUSE GAS IMPORTER.—The term ‘fluorinated greenhouse gas importer’ means any importer who is included under—	fluorinated, greenhouse, gas, importer, term, included
104	18.13 - 18.16	[TITLE I SEC. 101.(a)] SEC. 4692.(c)(3)(A)	the industrial gas supplier source category under subpart OO of part 98 of title 40, Code of Regulations, as in effect on the date of the enactment of the Save Our Future Act, or	industrial, gas, supplier, source, category, subpart, oo, title, code, regulations, effect, enactment, future, act
105	18.17 - 18.18	[TITLE I SEC. 101.(a)] SEC. 4692.(c)(3)(B)	the source category under subpart QQ of such part (as so in effect).	source, category, subpart, qq, effect
106	18.19 - 18.2032	[TITLE I SEC. 101.(a)] SEC. 4692.(c)(4)	APPLICABLE PERCENTAGE.—The term ‘applicable percentage’ means the percentage determined in accordance with the following table: ...................................................................................... 10 percent ...................................................................................... 20 percent ...................................................................................... 30 percent ...................................................................................... 40 percent ...................................................................................... 50 percent ...................................................................................... 60 percent ...................................................................................... 70 percent ...................................................................................... 80 percent ...................................................................................... 90 percent or thereafter ................................................................ 100 percent.	applicable, percentage, term, determined, accordance, table, thereafter
107	19.1 - 19.8	[TITLE I SEC. 101.(a)] SEC. 4692.(d)	EXEMPTION FOR EXPORTS.—For purposes of determining fluorinated greenhouse gases produced or imported under subsection (a), there shall not be taken into account any fluorinated greenhouse gases exported from the United States in bulk or exported from the United States in equipment pre-charged with fluorinated greenhouse gases or containing fluorinated greenhouse gases in closed cell foams.	exemption, exports, purposes, determining, fluorinated, greenhouse, gases, produced, imported, subsection, account, exported, united, states, bulk, equipment, pre, charged, containing, closed, cell, foams
