Item	Page_Lines	Para	Text
30	5.20 - 5.21	[SEC. 10101.(a)(2)] (k)(1)(D)	SPECIAL RULES FOR DETERMINING APPLICABLE CORPORATION STATUS.
31	5.22 - 6.10	[SEC. 10101.(a)(2)] (k)(1)(D)(i)	IN GENERAL. Solely for purposes of determining whether a corporation is an applicable corporation under this paragraph, all adjusted financial statement income of persons treated as a single employer with such corporation under subsection (a) or (b) of section 52 (determined with the modifications described in clause (ii)) shall be treated as adjusted financial statement income of such corporation, and adjusted financial statement income of such corporation shall be determined without regard to paragraphs (2)(D)(i) and (11) of section 56A(c).
32	6.11 - 6.12	[SEC. 10101.(a)(2)] (k)(1)(D)(ii)	MODIFICATIONS. For purposes of this subparagraph
33	6.13 - 6.15	[SEC. 10101.(a)(2)] (k)(1)(D)(ii)(I)	section 52(a) shall be applied by substituting ‘component members’ for ‘members’, and
34	6.16 - 6.23	[SEC. 10101.(a)(2)] (k)(1)(D)(ii)(II)	for purposes of applying section 52(b), the term ‘trade or business’ shall include any activity treated as a trade or business under paragraph (5) or (6) of section 469(c) (determined without regard to the phrase ‘To the extent provided in regulations’ in such paragraph (6)).
35	6.24 - 7.4	[SEC. 10101.(a)(2)] (k)(1)(D)(iii)	COMPONENT MEMBER. For purposes of this subparagraph, the term ‘component member’ has the meaning given such term by section 1563(b), except that the determination shall be made without regard to section 1563(b)(2).
36	7.5 - 7.5	[SEC. 10101.(a)(2)] (k)(1)(E)	OTHER SPECIAL RULES.
37	7.6 - 7.11	[SEC. 10101.(a)(2)] (k)(1)(E)(i)	CORPORATIONS IN EXISTENCE FOR LESS THAN 3 YEARS. If the corporation was in existence for less than 3-taxable years, subparagraph (B) shall be applied on the basis of the period during which such corporation was in existence.
38	7.12 - 7.18	[SEC. 10101.(a)(2)] (k)(1)(E)(ii)	SHORT TAXABLE YEARS. Adjusted financial statement income for any taxable year of less than 12 months shall be annualized by multiplying the adjusted financial statement income for the short period by 12 and dividing the result by the number of months in the short period.
39	7.19 - 7.23	[SEC. 10101.(a)(2)] (k)(1)(E)(iii)	TREATMENT OF PREDECESSORS. Any reference in this subparagraph to a corporation shall include a reference to any predecessor of such corporation.
40	7.24 - 7.25	[SEC. 10101.(a)(2)] (k)(2)	SPECIAL RULE FOR FOREIGN-PARENTED MULTINATIONAL GROUPS.
41	8.1 - 8.14	[SEC. 10101.(a)(2)] (k)(2)(A)	IN GENERAL. If a corporation is a member of a foreign-parented multinational group for any taxable year, then, solely for purposes of determining whether such corporation meets the average annual adjusted financial statement income test under paragraph (1)(B)(ii)(I) for such taxable year, the adjusted financial statement income of such corporation for such taxable year shall include the adjusted financial statement income of all members of such group. Solely for purposes of this subparagraph, adjusted financial statement income shall be determined without regard to paragraphs (2)(D)(i), (3), (4), and (11) of section 56A(c).
44	8.15 - 8.19	[SEC. 10101.(a)(2)] (k)(2)(B)	FOREIGN-PARENTED MULTINATIONAL GROUP. For purposes of subparagraph (A), the term ‘foreign-parented multinational group’ means, with respect to any taxable year, two or more entities if
45	8.20 - 8.22	[SEC. 10101.(a)(2)] (k)(2)(B)(i)	at least one entity is a domestic corporation and another entity is a foreign corporation,
46	8.23 - 8.25	[SEC. 10101.(a)(2)] (k)(2)(B)(ii)	such entities are included in the same applicable financial statement with respect to such year, and
47	9.1 - 9.1	[SEC. 10101.(a)(2)] (k)(2)(B)(iii)	either
48	9.2 - 9.3	[SEC. 10101.(a)(2)] (k)(2)(B)(iii)(I)	the common parent of such entities is a foreign corporation, or
49	9.4 - 9.7	[SEC. 10101.(a)(2)] (k)(2)(B)(iii)(II)	if there is no common parent, the entities are treated as having a common parent which is a foreign corporation under subparagraph (D).
50	9.8 - 9.15	[SEC. 10101.(a)(2)] (k)(2)(C)	FOREIGN CORPORATIONS ENGAGED IN A TRADE OR BUSINESS WITHIN THE UNITED STATES. For purposes of this paragraph, if a foreign corporation is engaged in a trade or business within the United States, such trade or business shall be treated as a separate domestic corporation that is wholly owned by the foreign corporation.
51	9.16 - 9.19	[SEC. 10101.(a)(2)] (k)(2)(D)	OTHER RULES. The Secretary shall, applying the principles of this section, prescribe rules for the application of this paragraph, including rules for the determination of
52	9.20 - 9.23	[SEC. 10101.(a)(2)] (k)(2)(D)(i)	the entities (if any) which are to be to be treated under subparagraph (B)(iii)(II) as having a common parent which is a foreign corporation,
54	9.24 - 9.25	[SEC. 10101.(a)(2)] (k)(2)(D)(ii)	the entities to be included in a foreign-parented multinational group, and
55	10.1 - 10.2	[SEC. 10101.(a)(2)] (k)(2)(D)(iii)	the common parent of a foreignparented multinational group.
56	10.3 - 10.6	[SEC. 10101.(a)(2)] (k)(3)	REGULATIONS OR OTHER GUIDANCE. The Secretary shall provide regulations or other guidance for the purposes of carrying out this subsection, including regulations or other guidance
57	10.7 - 10.12	[SEC. 10101.(a)(2)] (k)(3)(A)	providing a simplified method for determining whether a corporation meets the requirements of paragraph (1), and ‘‘’(B) addressing the application of this subsection to a corporation that experiences a change in ownership.’’.
58	10.13 - 10.17	SEC. 10101.(a)(3)	REDUCTION FOR BASE EROSION AND ANTIABUSE TAX. Section 55(a)(2) is amended by inserting ‘‘plus, in the case of an applicable corporation, the tax imposed by section 59A’’ before the period at the end.
59	10.18 - 10.18	SEC. 10101.(a)(4)	CONFORMING AMENDMENTS.
60	10.19 - 10.21	SEC. 10101.(a)(4)(A)	Section 55(a) is amended by striking ‘‘In the case of a taxpayer other than a corporation, there’’ and inserting ‘‘There’’.
61	10.22 - 10.22	SEC. 10101.(a)(4)(B)(i)	Section 55(b)(1) is amended
62	10.23 - 10.25	SEC. 10101.(a)(4)(B)(i)(I)	by striking so much as precedes subparagraph (A) and inserting the following:
63	11.1 - 11.2	[SEC. 10101.(a)(4)(B)(i)(I)] (1)	NONCORPORATE TAXPAYERS. In the case of a taxpayer other than a corporation ’’, and
64	11.3 - 11.4	SEC. 10101.(a)(4)(B)(i)(II)	by adding at the end the following new subparagraph:
65	11.5 - 11.8	[SEC. 10101.(a)(4)(B)(i)(II)] (D)	ALTERNATIVE MINIMUM TAXABLE INCOME. The term ‘alternative minimum taxable income’ means the taxable income of the taxpayer for the taxable year
66	11.9 - 11.10	[SEC. 10101.(a)(4)(B)(i)(II)] (D)(i)	determined with the adjustments provided in section 56 and section 58, and
67	11.11 - 11.20	[SEC. 10101.(a)(4)(B)(i)(II)] (D)(ii)	increased by the amount of the items of tax preference described in section 57. If a taxpayer is subject to the regular tax, such taxpayer shall be subject to the tax imposed by this section (and, if the regular tax is determined by reference to an amount other than taxable income, such amount shall be treated as the taxable income of such taxpayer for purposes of the preceding sentence).’’.
68	11.21 - 11.22	SEC. 10101.(a)(4)(B)(ii)	Section 860E(a)(4) is amended by striking ‘‘55(b)(2)’’ and inserting ‘‘55(b)(1)(D)’’.
69	11.23 - 11.24	SEC. 10101.(a)(4)(B)(iii)	Section 897(a)(2)(A)(i) is amended by striking ‘‘55(b)(2)’’ and inserting ‘‘55(b)(1)(D)’’.
70	12.1 - 12.4	SEC. 10101.(a)(4)(C)	Section 11(d) is amended by striking ‘‘the tax imposed by subsection (a)’’ and inserting ‘‘the taxes imposed by subsection (a) and section 55’’.
71	12.5 - 12.6	SEC. 10101.(a)(4)(D)	Section 12 is amended by adding at the end the following new paragraph:
72	12.7 - 12.8	[SEC. 10101.(a)(4)(D)] (5)	For alternative minimum tax, see section 55.’’.
73	12.9 - 12.10	SEC. 10101.(a)(4)(E)	Section 882(a)(1) is amended by inserting ‘‘, 55,’’ after ‘‘section 11’’.
74	12.11 - 12.12	SEC. 10101.(a)(4)(F)	Section 6425(c)(1)(A) is amended to read as follows:
75	12.13 - 12.13	[SEC. 10101.(a)(4)(F)] (A)	the sum of
76	12.14 - 12.16	[SEC. 10101.(a)(4)(F)] (A)(i)	the tax imposed by section 11 or subchapter L of chapter 1, whichever is applicable, plus
77	12.17 - 12.18	[SEC. 10101.(a)(4)(F)] (A)(ii)	the tax imposed by section 55, plus
78	12.19 - 12.20	[SEC. 10101.(a)(4)(F)] (A)(iii)	the tax imposed by section 59A, over’’.
79	12.21 - 12.25	SEC. 10101.(a)(4)(G)	Section 6655(e)(2) is amended by inserting ‘‘, adjusted financial statement income (as defined in section 56A),’’ before ‘‘and modified taxable income’’ each place it appears in subparagraphs (A)(i) and (B)(i).
80	13.1 - 13.4	SEC. 10101.(a)(4)(H)	Section 6655(g)(1)(A) is amended by redesignating clauses (ii) and (iii) as clauses (iii)  and (iv), respectively, and by inserting after clause (i) the following new clause:
82	13.5 - 13.5	[SEC. 10101.(a)(4)(H)] (ii)	the tax imposed by section 55,’’.
83	13.6 - 13.6	SEC. 10101.(b)	ADJUSTED FINANCIAL STATEMENT INCOME.
84	13.7 - 13.9	SEC. 10101.(b)(1)	IN GENERAL. Part VI of subchapter A of chapter 1 is amended by inserting after section 56 the following new section:
85	13.10 - 13.10	[SEC. 10101.(b)(1)] SEC. 56A.	ADJUSTED FINANCIAL STATEMENT INCOME.
86	13.11 - 13.16	[SEC. 10101.(b)(1)] SEC. 56A.(a)	IN GENERAL. For purposes of this part, the term ‘adjusted financial statement income’ means, with respect to any corporation for any taxable year, the net income or loss of the taxpayer set forth on the taxpayer’s applicable financial statement for such taxable year, adjusted as provided in this section.
87	13.17 - 13.22	[SEC. 10101.(b)(1)] SEC. 56A.(b)	APPLICABLE FINANCIAL STATEMENT. For purposes of this section, the term ‘applicable financial statement’ means, with respect to any taxable year, an applicable financial statement (as defined in section 451(b)(3) or as specified by the Secretary in regulations or other guidance) which covers such taxable year.
88	13.23 - 13.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)	GENERAL ADJUSTMENTS.
89	13.24 - 14.3	[SEC. 10101.(b)(1)] SEC. 56A.(c)(1)	STATEMENTS COVERING DIFFERENT TAXABLE YEARS. Appropriate adjustments shall be made in adjusted financial statement income in any case in which an applicable financial statement covers a period other than the taxable year.
90	14.4 - 14.4	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)	SPECIAL RULES FOR RELATED ENTITIES.
91	14.5 - 14.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(A)	CONSOLIDATED FINANCIAL STATEMENTS. If the financial results of a taxpayer are reported on the applicable financial statement for a group of entities, rules similar to the rules of section 451(b)(5) shall apply.
92	14.10 - 14.18	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(B)	CONSOLIDATED RETURNS. Except as provided in regulations prescribed by the Secretary, if the taxpayer is part of an affiliated group of corporations filing a consolidated return for any taxable year, adjusted financial statement income for such group for such taxable year shall take into account items on the group’s applicable financial statement which are properly allocable to members of such group.
93	14.19 - 15.8	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(C)	TREATMENT OF DIVIDENDS AND OTHER AMOUNTS. In the case of any corporation which is not included on a consolidated return with the taxpayer, adjusted financial statement income of the taxpayer with respect to such other corporation shall be determined by only taking into account the dividends received from such other corporation (reduced to the extent provided by the Secretary in regulations or other guidance) and other amounts which are includible in gross income or deductible as a loss under this chapter (other than amounts required to be included under sections 951 and 951A or such other amounts as provided by the Secretary) with respect to such other corporation.
94	15.9 - 15.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(D)	TREATMENT OF PARTNERSHIPS.
95	15.10 - 15.17	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(D)(i)	IN GENERAL. Except as provided by the Secretary, if the taxpayer is a partner in a partnership, adjusted financial statement income of the taxpayer with respect to such partnership shall be adjusted to only take into account the taxpayer’s distributive share of adjusted financial statement income of such partnership.
96	15.18 - 15.25	[SEC. 10101.(b)(1)] SEC. 56A.(c)(2)(D)(ii)	ADJUSTED FINANCIAL STATEMENT INCOME OF PARTNERSHIPS. For the purposes of this part, the adjusted financial statement income of a partnership shall be the partnership’s net income or loss set forth on such partnership’s applicable financial statement (adjusted under rules similar to the rules of this section).
97	16.1 - 16.2	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)	ADJUSTMENTS TO TAKE INTO ACCOUNT CERTAIN ITEMS OF FOREIGN INCOME.
98	16.3 - 16.19	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(A)	IN GENERAL. If, for any taxable year, a taxpayer is a United States shareholder of one or more controlled foreign corporations, the adjusted financial statement income of such taxpayer with respect to such controlled foreign corporation (as determined under paragraph (2)(C)) shall be adjusted to also take into account such taxpayer’s pro rata share (determined under rules similar to the rules under section 951(a)(2)) of items taken into account in computing the net income or loss set forth on the applicable financial statement (as adjusted under rules similar to those that apply in determining adjusted financial statement income) of each such controlled foreign corporation with respect to which such taxpayer is a United States shareholder.
100	16.20 - 16.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(B)	NEGATIVE ADJUSTMENTS. In any case in which the adjustment determined under subparagraph (A) would result in a negative adjustment for such taxable year
101	17.1 - 17.3	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(B)(i)	no adjustment shall be made under this paragraph for such taxable year, and
102	17.4 - 17.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(3)(B)(ii)	the amount of the adjustment determined under this paragraph for the succeeding taxable year (determined without regard to this paragraph) shall be reduced by an amount equal to the negative adjustment for such taxable year.
103	17.10 - 17.13	[SEC. 10101.(b)(1)] SEC. 56A.(c)(4)	EFFECTIVELY CONNECTED INCOME. In the case of a foreign corporation, to determine adjusted financial statement income, the principles of section 882 shall apply.
104	17.14 - 18.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(5)	ADJUSTMENTS FOR CERTAIN TAXES. Adjusted financial statement income shall be appropriately adjusted to disregard any Federal income taxes, or income, war profits, or excess profits taxes (within the meaning of section 901) with respect to a foreign country or possession of the United States, which are taken into account on the taxpayer’s applicable financial statement. To the extent provided by the Secretary, the preceding sentence shall not apply to income, war profits, or excess profits taxes (within the meaning of section 901) that are imposed by a foreign country or possession of the United States and taken into account on the taxpayer’s applicable financial statement if the taxpayer does not choose to have the benefits of subpart A of part III of subchapter N for the taxable year. The Secretary shall prescribe such regulations or other guidance as may be necessary and appropriate to provide for the proper treatment of current and deferred taxes for purposes of this paragraph, including the time at which such taxes are properly taken into account.
105	18.10 - 18.14	[SEC. 10101.(b)(1)] SEC. 56A.(c)(6)	ADJUSTMENT WITH RESPECT TO DISREGARDED ENTITIES. Adjusted financial statement income shall be adjusted to take into account any adjusted financial statement income of a disregarded entity owned by the taxpayer.
106	18.15 - 18.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)(7)	SPECIAL RULE FOR COOPERATIVES. In the case of a cooperative to which section 1381 applies, the adjusted financial statement income (determined without regard to this paragraph) shall be reduced by the amounts referred to in section 1382(b) (relating to patronage dividends and per-unit retain allocations) to the extent such amounts were not otherwise taken into account in determining adjusted financial statement income.
107	19.1 - 19.3	[SEC. 10101.(b)(1)] SEC. 56A.(c)(8)	RULES FOR ALASKA NATIVE CORPORATIONS. Adjusted financial statement income shall be appropriately adjusted to allow
108	19.4 - 19.7	[SEC. 10101.(b)(1)] SEC. 56A.(c)(8)(A)	cost recovery and depletion attributable to property the basis of which is determined under section 21(c) of the Alaska Native Claims Settlement Act (43 U.S.C. 1620(c)), and
109	19.8 - 19.12	[SEC. 10101.(b)(1)] SEC. 56A.(c)(8)(B)	deductions for amounts payable made pursuant to section 7(i) or section 7(j) of such Act (43 U.S.C. 1606(i) and 1606(j)) only at such time as the deductions are allowed for tax purposes.
110	19.13 - 19.20	[SEC. 10101.(b)(1)] SEC. 56A.(c)(9)	AMOUNTS ATTRIBUTABLE TO ELECTIONS FOR DIRECT PAYMENT OF CERTAIN CREDITS. Adjusted financial statement income shall be appropriately adjusted to disregard any amount treated as a payment against the tax imposed by subtitle A pursuant to an election under section 48D(d) or 6417, to the extent such amount was not otherwise taken into account under paragraph (5).
111	19.21 - 19.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)(10)	CONSISTENT TREATMENT OF MORTGAGE SERVICING INCOME OF TAXPAYER OTHER THAN A REGULATED INVESTMENT COMPANY.
112	19.24 - 20.4	[SEC. 10101.(b)(1)] SEC. 56A.(c)(10)(A)	IN GENERAL. Adjusted financial statement income shall be adjusted so as not to include any item of income in connection with a mortgage servicing contract any earlier than when such income is included in gross income under any other provision of this chapter.
113	20.5 - 20.11	[SEC. 10101.(b)(1)] SEC. 56A.(c)(10)(B)	RULES FOR AMOUNTS NOT REPRESENTING REASONABLE COMPENSATION. The Secretary shall provide regulations to prevent the avoidance of taxes imposed by this chapter with respect to amounts not representing reasonable compensation (as determined by the Secretary) with respect to a mortgage servicing contract.
114	20.12 - 20.13	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)	ADJUSTMENT WITH RESPECT TO DEFINED BENEFIT PENSIONS.
115	20.14 - 20.17	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(A)	IN GENERAL. Except as otherwise provided in rules prescribed by the Secretary in regulations or other guidance, adjusted financial statement income shall be
116	20.18 - 20.22	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(A)(i)	adjusted to disregard any amount of income, cost, or expense that would otherwise be included on the applicable financial statement in connection with any covered benefit plan,
117	20.23 - 21.2	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(A)(ii)	increased by any amount of income in connection with any such covered benefit plan that is included in the gross income of the corporation under any other provision of this chapter, and
118	21.3 - 21.6	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(A)(iii)	reduced by deductions allowed under any other provision of this chapter with respect to any such covered benefit plan.
119	21.7 - 21.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(B)	COVERED BENEFIT PLAN. For purposes of this paragraph, the term ‘covered benefit plan’ means
120	21.10 - 21.15	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(B)(i)	a defined benefit plan (other than a multiemployer plan described in section 414(f)) if the trust which is part of such plan is an employees’ trust described in section 401(a) which is exempt from tax under section 501(a),
121	21.16 - 21.17	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(B)(ii)	any qualified foreign plan (as defined in section 404A(e)), or
122	21.18 - 21.20	[SEC. 10101.(b)(1)] SEC. 56A.(c)(11)(B)(iii)	any other defined benefit plan which provides post-employment benefits other than pension benefits.
123	21.21 - 21.25	[SEC. 10101.(b)(1)] SEC. 56A.(c)(12)	TAX-EXEMPT ENTITIES. In the case of an organization subject to tax under section 511, adjusted financial statement income shall be appropriately adjusted to only take into account any adjusted financial statement income
124	22.1 - 22.2	[SEC. 10101.(b)(1)] SEC. 56A.(c)(12)(A)	of an unrelated trade or business (as defined in section 513) of such organization, or
125	22.3 - 22.6	[SEC. 10101.(b)(1)] SEC. 56A.(c)(12)(B)	derived from debt-financed property (as defined in section 514) to the extent that income from such property is treated as unrelated business taxable income.
126	22.7 - 22.8	[SEC. 10101.(b)(1)] SEC. 56A.(c)(13)	DEPRECIATION. Adjusted financial statement income shall be
127	22.9 - 22.13	[SEC. 10101.(b)(1)] SEC. 56A.(c)(13)(A)	reduced by depreciation deductions allowed under section 167 with respect to property to which section 168 applies to the extent of the amount allowed as deductions in computing taxable income for the taxable year, and
128	22.14 - 22.14	[SEC. 10101.(b)(1)] SEC. 56A.(c)(13)(B)	appropriately adjusted
129	22.15 - 22.18	[SEC. 10101.(b)(1)] SEC. 56A.(c)(13)(B)(i)	to disregard any amount of depreciation expense that is taken into account on the taxpayer’s applicable financial statement with respect to such property, and
130	22.19 - 22.23	[SEC. 10101.(b)(1)] SEC. 56A.(c)(13)(B)(ii)	to take into account any other item specified by the Secretary in order to provide that such property is accounted for in the same manner as it is accounted for under this chapter.
131	22.24 - 22.24	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)	QUALIFIED WIRELESS SPECTRUM.
132	23.1 - 23.2	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(A)	IN GENERAL. Adjusted financial statement income shall be
133	23.3 - 23.8	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(A)(i)	reduced by amortization deductions allowed under section 197 with respect to qualified wireless spectrum to the extent of the amount allowed as deductions in computing taxable income for the taxable year, and
134	23.9 - 23.9	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(A)(ii)	appropriately adjusted
135	23.10 - 23.14	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(A)(ii)(I)	to disregard any amount of amortization expense that is taken into account on the taxpayer’s applicable financial statement with respect to such qualified wireless spectrum, and
136	23.15 - 23.20	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(A)(ii)(II)	to take into account any other item specified by the Secretary in order to provide that such qualified wireless spectrum is accounted for in the same manner as it is accounted for under this chapter.
137	23.21 - 23.24	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(B)	QUALIFIED WIRELESS SPECTRUM. For purposes of this paragraph, the term ‘qualified wireless spectrum’ means wireless spectrum which
138	24.1 - 24.2	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(B)(i)	is used in the trade or business of a wireless telecommunications carrier, and
139	24.3 - 24.5	[SEC. 10101.(b)(1)] SEC. 56A.(c)(14)(B)(ii)	was acquired after December 31, 2007, and before the date of enactment of this section.
140	24.6 - 24.11	[SEC. 10101.(b)(1)] SEC. 56A.(c)(15)	SECRETARIAL AUTHORITY TO ADJUST ITEMS. The Secretary shall issue regulations or other guidance to provide for such adjustments to adjusted financial statement income as the Secretary determines necessary to carry out the purposes of this section, including adjustments
141	24.12 - 24.13	[SEC. 10101.(b)(1)] SEC. 56A.(c)(15)(A)	to prevent the omission or duplication of any item, and
142	24.14 - 24.20	[SEC. 10101.(b)(1)] SEC. 56A.(c)(15)(B)	to carry out the principles of part II of subchapter C of this chapter (relating to corporate liquidations), part III of subchapter C of this chapter (relating to corporate organizations and reorganizations), and part II of subchapter K of this chapter (relating to partnership contributions and distributions).
143	24.21 - 24.22	[SEC. 10101.(b)(1)] SEC. 56A.(d)	DEDUCTION FOR FINANCIAL STATEMENT NET OPERATING LOSS.
144	24.23 - 25.2	[SEC. 10101.(b)(1)] SEC. 56A.(d)(1)	IN GENERAL. Adjusted financial statement income (determined after application of subsection (c) and without regard to this subsection) shall be reduced by an amount equal to the lesser of
145	25.3 - 25.5	[SEC. 10101.(b)(1)] SEC. 56A.(d)(1)(A)	the aggregate amount of financial statement net operating loss carryovers to the taxable year, or
146	25.6 - 25.8	[SEC. 10101.(b)(1)] SEC. 56A.(d)(1)(B)	80 percent of adjusted financial statement income computed without regard to the deduction allowable under this subsection.
147	25.9 - 25.16	[SEC. 10101.(b)(1)] SEC. 56A.(d)(2)	FINANCIAL STATEMENT NET OPERATING LOSS CARRYOVER. A financial statement net operating loss for any taxable year shall be a financial statement net operating loss carryover to each taxable year following the taxable year of the loss. The portion of such loss which shall be carried to subsequent taxable years shall be the amount of such loss remaining (if any) after the application of paragraph (1).
148	25.17 - 25.24	[SEC. 10101.(b)(1)] SEC. 56A.(d)(3)	FINANCIAL STATEMENT NET OPERATING LOSS DEFINED. For purposes of this subsection, the term ‘financial statement net operating loss’ means the amount of the net loss (if any) set forth on the corporation’s applicable financial statement (determined after application of subsection (c) and without regard to this subsection) for taxable years ending after December 31, 2019.
149	26.1 - 26.6	[SEC. 10101.(b)(1)] SEC. 56A.(e)	REGULATIONS AND OTHER GUIDANCE. The Secretary shall provide for such regulations and other guidance as necessary to carry out the purposes of this section, including regulations and other guidance relating to the effect of the rules of this section on partnerships with income taken into account by an applicable corporation.’’.
