Item	Page_Lines	Para	Text	Keywords
58	9.3 - 9.3	SEC. 2.(d)	INVESTMENT PLAN.—	investment, plan
59	9.4 - 9.5	SEC. 2.(d)(1)	IN GENERAL.—The Board, in consultation with each working group described in subsection (c)(1), shall develop an investment plan (referred to in this subsection as the ‘‘investment plan’’) for the C2FC in accordance with this subsection.	board, consultation, working, group, described, subsection
61	9.9 - 9.10	SEC. 2.(d)(2)	PURPOSES.—The purposes of the investment plan are—	purposes, investment, plan
62	9.11 - 9.12	SEC. 2.(d)(2)(A)	to ensure that investments made by the C2FC—	ensure, investments, c2fc
63	9.13 - 9.15	SEC. 2.(d)(2)(A)(i)	are equitable and reach the prioritized communities described in subsection (e)(2);	equitable, reach, prioritized, communities, described, subsection
64	9.16 - 9.17	SEC. 2.(d)(2)(A)(ii)	are effective at progressing towards the goals described in subsection (a)(2)(A)(ii);	effective, progressing, towards, goals, described, subsection
66	9.19 - 9.21	SEC. 2.(d)(2)(A)(iii)	support the advancement of research in clean technologies and resilience; and	support, advancement, research, clean, technologies, resilience
67	9.22 - 9.22	SEC. 2.(d)(2)(A)(iv)	are transparent to the public; and	transparent, public
68	9.23 - 10.2	SEC. 2.(d)(2)(B)	to provide methods and standards by which the Board and the working groups described in subsection (c)(1) shall choose projects in which to invest.	methods, standards, board, working, described, subsection, projects, invest
69	10.3 - 10.5	SEC. 2.(d)(3)	DISTRIBUTION OF GRANT FUNDS.—The initial investment plan shall require that, of the total amount of grant funds provided under subsection (e)(3)(A) each year, not less than 40 percent shall be used to benefit communities described in subsection (e)(2)(A).	distribution, grant, funds, initial, investment, plan, require, total, amount, subsection
71	10.9 - 10.9	SEC. 2.(d)(4)	INVESTMENT PLAN UPDATES.—	investment, plan, updates
72	10.10 - 10.15	SEC. 2.(d)(4)(A)	IN GENERAL.—The Board, in consultation with each working group described in subsection (c)(1), shall update the investment plan not later than December 31, 2023, and every 4 years thereafter, including by taking into account—	board, consultation, working, group, described, subsection, update, investment, plan, december, years, thereafter, taking, account
73	10.16 - 10.17	SEC. 2.(d)(4)(A)(i)	the current needs of the prioritized communities described in subsection (e)(2);	needs, prioritized, communities, described, subsection
74	10.18 - 10.20	SEC. 2.(d)(4)(A)(ii)	the effectiveness of the previous investment plan in addressing the needs of those communities;	effectiveness, investment, plan, addressing, needs, communities
75	10.21 - 10.22	SEC. 2.(d)(4)(A)(iii)	the current state of relevant research and technology;	state, relevant, research, technology
76	10.23 - 10.24	SEC. 2.(d)(4)(A)(iv)	the resiliency needs of local communities;	resiliency, needs, local, communities
77	11.1 - 11.1	SEC. 2.(d)(4)(A)(v)	the goals described in subsection (a)(2)(A)(ii); and	goals, described, subsection
79	11.3 - 11.4	SEC. 2.(d)(4)(A)(vi)	the 2 most recent program reviews conducted under subsection (f).	program, reviews, conducted, subsection
80	11.5 - 11.8	SEC. 2.(d)(4)(B)	EFFECTIVENESS.—An investment plan shall remain in effect until the date on which the Board approves an updated investment plan.	effectiveness, investment, plan, remain, effect, board, approves, updated
81	11.9 - 11.11	SEC. 2.(d)(4)(C)	PUBLIC INPUT.—In updating the investment plan, the Board and the working groups described in subsection (c)(1) shall—	public, input, updating, investment, plan, board, working, described, subsection
82	11.12 - 11.14	SEC. 2.(d)(4)(C)(i)	engage stakeholders and the public in a public comment and feedback process; and	engage, stakeholders, public, comment, feedback, process
83	11.15 - 11.17	SEC. 2.(d)(4)(C)(ii)	ensure that the prioritized communities described in subsection (e)(2) have access to participate in that process.	ensure, prioritized, communities, described, subsection, access, participate, process
84	11.18 - 11.21	SEC. 2.(d)(5)	PUBLIC UPDATES.—The Board shall make publicly available on a quarterly basis information relating to the expenditure of funds under the investment plan.	public, updates, board, publicly, available, quarterly, basis, information, relating, expenditure, funds, investment, plan
85	11.22 - 11.22	SEC. 2.(e)	INVESTMENT TOOLS.—	investment, tools
86	11.23 - 11.23	SEC. 2.(e)(1)	DEFINITIONS.—In this subsection:	definitions, subsection
87	11.24 - 12.4	SEC. 2.(e)(1)(A)	COMMUNITY OF COLOR.—The term ‘‘community of color’’ means a geographically distinct area in which the population of any of the following categories of individuals is higher than the average population of that category for the State in which the community is located:	community, term, geographically, distinct, area, population, categories, individuals, average, category, state, located
88	12.5 - 12.5	SEC. 2.(e)(1)(A)(i)	Black.	black
89	12.6 - 12.6	SEC. 2.(e)(1)(A)(ii)	African American.	african, american
90	12.7 - 12.7	SEC. 2.(e)(1)(A)(iii)	Asian.	asian
91	12.8 - 12.8	SEC. 2.(e)(1)(A)(iv)	Pacific Islander.	pacific, islander
92	12.9 - 12.9	SEC. 2.(e)(1)(A)(v)	Other non-White race.	white, race
93	12.10 - 12.10	SEC. 2.(e)(1)(A)(vi)	Hispanic.	hispanic
94	12.11 - 12.11	SEC. 2.(e)(1)(A)(vii)	Latino.	latino
95	12.12 - 12.12	SEC. 2.(e)(1)(A)(viii)	Linguistically isolated.	linguistically, isolated
96	12.13 - 12.21	SEC. 2.(e)(1)(B)	ELIGIBLE BORROWER.—The term ‘‘eligible borrower’’ means any person, including a business owner or project developer, that seeks a loan to carry out approved practices or projects described in subparagraph (A)(i) of paragraph (3) from an eligible lender that may receive a loan guarantee under that paragraph for that loan, according to criteria determined by the C2FC.	eligible, borrower, term, business, owner, project, developer, seeks, loan, carry, approved, practices, projects, described, subparagraph, lender, guarantee, according, criteria, determined, c2fc
97	12.22 - 12.23	SEC. 2.(e)(1)(C)	ELIGIBLE ENTITY.—The term ‘‘eligible entity’’ means—	eligible, entity, term
98	12.24 - 12.24	SEC. 2.(e)(1)(C)(i)	a State;	state
99	12.25 - 12.25	SEC. 2.(e)(1)(C)(ii)	an Indian Tribe;	indian, tribe
100	13.1 - 13.1	SEC. 2.(e)(1)(C)(iii)	a unit of local government; and	unit, local, government
101	13.2 - 13.3	SEC. 2.(e)(1)(C)(iv)	a research and development institution (including a National Laboratory).	research, development, institution, national, laboratory
102	13.4 - 13.5	SEC. 2.(e)(1)(D)	ELIGIBLE LENDER.—The term ‘‘eligible lender’’ means—	eligible, lender, term
103	13.6 - 13.7	SEC. 2.(e)(1)(D)(i)	a Federal- or State-chartered bank;	federal, state, chartered, bank
104	13.8 - 13.9	SEC. 2.(e)(1)(D)(ii)	a Federal- or State-chartered credit union;	federal, state, chartered, credit, union
105	13.10 - 13.10	SEC. 2.(e)(1)(D)(iii)	an agricultural credit corporation;	agricultural, credit, corporation
106	13.11 - 13.12	SEC. 2.(e)(1)(D)(iv)	a United States Green Bank Institution;	united, states, bank, institution
107	13.13 - 13.17	SEC. 2.(e)(1)(D)(v)	a community development financial institution (as defined in section 103 of the Community Development Banking and Financial Institutions Act of 1994 (12 U.S.C. 4702));	community, development, financial, institution, defined, banking, institutions, act, u.s.c
108	13.18 - 13.22	SEC. 2.(e)(1)(D)(vi)	a minority depository institution (as defined in section 308(b) of the Financial Institutions Reform, Recovery, and Enforcement Act of 1989 (12 U.S.C. 1463 note; Public Law 101–73)); and	minority, depository, institution, defined, financial, institutions, reform, recovery, enforcement, act, u.s.c, note, public, law
109	13.23 - 14.2	SEC. 2.(e)(1)(D)(vii)	any other lender that the Board determines has a demonstrated ability to underwrite and service loans for the intended approved practice for which the loan will be used.	lender, board, determines, demonstrated, ability, underwrite, service, loans, intended, approved, practice, loan
110	14.3 - 14.10	SEC. 2.(e)(1)(E)	ENVIRONMENTAL JUSTICE COMMUNITY.—The term ‘‘environmental justice community’’ means a community with significant representation of communities of color, low-income communities, or Tribal and indigenous communities that experiences, or is at risk of experiencing, higher or more adverse human health or environmental effects.	environmental, justice, community, term, significant, representation, communities, income, tribal, indigenous, experiences, risk, experiencing, adverse, human, health, effects
111	14.11 - 14.14	SEC. 2.(e)(1)(F)	INDIAN TRIBE.—The term ‘‘Indian Tribe’’ has the meaning given the term in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304).	indian, tribe, term, meaning, determination, education, assistance, act, u.s.c
112	14.15 - 14.20	SEC. 2.(e)(1)(G)	LOW-INCOME COMMUNITY.—The term ‘‘low-income community’’ means any census block group in which 30 percent or more of the population are individuals with an annual household income equal to, or less than, the greater of—	income, community, term, census, block, group, population, individuals, annual, household, equal, greater
113	14.21 - 14.25	SEC. 2.(e)(1)(G)(i)	an amount equal to 80 percent of the median income of the area in which the household is located, as reported by the Department of Housing and Urban Development; and	amount, equal, median, income, area, household, located, reported, department, housing, urban, development
114	15.1 - 15.2	SEC. 2.(e)(1)(G)(ii)	200 percent of the Federal poverty line.	federal, poverty, line
115	15.3 - 15.3	SEC. 2.(e)(1)(H)	STATE.—The term ‘‘State’’ means—	state, term
116	15.4 - 15.4	SEC. 2.(e)(1)(H)(i)	a State;	state
117	15.5 - 15.5	SEC. 2.(e)(1)(H)(ii)	the District of Columbia;	district, columbia
118	15.6 - 15.7	SEC. 2.(e)(1)(H)(iii)	the Commonwealth of Puerto Rico; and	commonwealth, puerto, rico
119	15.8 - 15.9	SEC. 2.(e)(1)(H)(iv)	any other territory or possession of the United States.	territory, possession, united, states
120	15.10 - 15.13	SEC. 2.(e)(2)	COMMUNITY PRIORITIZATION.—In providing financial and other assistance under paragraph (3), the C2FC shall give priority to, as determined by the C2FC—	community, prioritization, providing, financial, assistance, c2fc, priority, determined
121	15.14 - 15.17	SEC. 2.(e)(2)(A)	environmental justice communities, communities with populations of color, communities of color, indigenous communities, and low-income communities that—	environmental, justice, communities, populations, indigenous, income
122	15.18 - 15.22	SEC. 2.(e)(2)(A)(i)	experience a disproportionate burden of the negative human health and environmental impacts of pollution or other environmental hazards, such as natural disasters; or	experience, disproportionate, burden, negative, human, health, environmental, impacts, pollution, hazards, natural, disasters
123	15.23 - 16.2	SEC. 2.(e)(2)(A)(ii)	may not have access to public information and opportunities for meaningful public participation relating to human health and environmental planning, regulations, and enforcement;	access, public, information, opportunities, meaningful, participation, relating, human, health, environmental, planning, regulations, enforcement
124	16.3 - 16.5	SEC. 2.(e)(2)(B)	deindustrialized communities or communities with significant local economic reliance on carbon-intensive industries;	deindustrialized, communities, significant, local, economic, reliance, carbon, intensive, industries
125	16.6 - 16.8	SEC. 2.(e)(2)(C)	low-income communities at risk of impacts of natural disasters or sea level rise exacerbated by climate change;	income, communities, risk, impacts, natural, disasters, sea, level, rise, exacerbated, climate
126	16.9 - 16.11	SEC. 2.(e)(2)(D)	public or nonprofit entities that serve dislocated workers, veterans, or individuals with a barrier to employment; and	public, nonprofit, entities, serve, dislocated, workers, veterans, individuals, barrier, employment
127	16.12 - 16.14	SEC. 2.(e)(2)(E)	communities that have minimal or no investment in the approved practices and projects described in paragraph (3)(A)(i).	communities, minimal, investment, approved, practices, projects, described
128	16.15 - 16.16	SEC. 2.(e)(3)	GRANTS, LOAN GUARANTEES, AND OTHER INVESTMENT TOOLS.—	grants, loan, guarantees, investment, tools
129	16.17 - 16.17	SEC. 2.(e)(3)(A)	IN GENERAL.—The C2FC—	c2fc
130	16.18 - 16.23	SEC. 2.(e)(3)(A)(i)	shall provide grants to eligible entities and loan guarantees to eligible lenders issuing loans to eligible borrowers for approved practices and projects relating to climate change mitigation and resilience measures, including—	grants, eligible, entities, loan, guarantees, lenders, issuing, loans, borrowers, approved, practices, projects, relating, climate, mitigation, resilience, measures
131	16.24 - 16.25	SEC. 2.(e)(3)(A)(i)(I)	energy efficiency upgrades to infrastructure;	energy, efficiency, upgrades, infrastructure
132	17.1 - 17.3	SEC. 2.(e)(3)(A)(i)(II)	electric, hydrogen, and clean transportation programs and deployment, including programs—	electric, hydrogen, clean, transportation, programs, deployment
133	17.4 - 17.7	SEC. 2.(e)(3)(A)(i)(II)(aa)	to purchase personal vehicles, commercial vehicles, and public transportation fleets and school bus fleets;	purchase, personal, vehicles, commercial, public, transportation, fleets, school, bus
134	17.8 - 17.10	SEC. 2.(e)(3)(A)(i)(II)(bb)	to deploy electric vehicle charging and hydrogen infrastructure; and	deploy, electric, vehicle, charging, hydrogen, infrastructure
135	17.11 - 17.13	SEC. 2.(e)(3)(A)(i)(II)(cc)	to develop and deploy low carbon sustainable aviation fuels;	develop, deploy, carbon, sustainable, aviation, fuels
136	17.14 - 17.16	SEC. 2.(e)(3)(A)(i)(III)	clean energy and vehicle manufacturing research, demonstrations, and deployment;	clean, energy, vehicle, manufacturing, research, demonstrations, deployment
137	17.17 - 17.18	SEC. 2.(e)(3)(A)(i)(IV)	battery storage research, demonstrations, and deployment;	battery, storage, research, demonstrations, deployment
138	17.19 - 17.21	SEC. 2.(e)(3)(A)(i)(V)	development or purchase of equipment for practices described in section 6;	development, purchase, equipment, practices, described
139	17.22 - 17.24	SEC. 2.(e)(3)(A)(i)(VI)	development and deployment of clean energy and clean technologies, with a focus on—	development, deployment, clean, energy, technologies, focus
140	18.1 - 18.9	SEC. 2.(e)(3)(A)(i)(VI)(aa)	carbon capture, utilization, and sequestration, bioenergy with carbon capture and sequestration, direct air capture, and infrastructure associated with those processes, including construction of carrier pipelines for the transportation of anthropogenic carbon dioxide;	carbon, capture, utilization, sequestration, bioenergy, direct, air, infrastructure, associated, processes, construction, carrier, pipelines, transportation, anthropogenic, dioxide
141	18.10 - 18.11	SEC. 2.(e)(3)(A)(i)(VI)(bb)	energy storage and grid modernization;	energy, storage, grid, modernization
142	18.12 - 18.12	SEC. 2.(e)(3)(A)(i)(VI)(cc)	geothermal energy;	geothermal, energy
143	18.13 - 18.14	SEC. 2.(e)(3)(A)(i)(VI)(dd)	commercial and residential solar;	commercial, residential, solar
144	18.15 - 18.15	SEC. 2.(e)(3)(A)(i)(VI)(ee)	wind energy; and	wind, energy
145	18.16 - 18.18	SEC. 2.(e)(3)(A)(i)(VI)(ff)	any other clean technology use or development, as determined by the Board;	clean, technology, development, determined, board
146	18.19 - 18.25	SEC. 2.(e)(3)(A)(i)(VII)	measures that anticipate and prepare for climate change impacts, and reduce risks and enhance resilience to sea level rise, extreme weather events, heat island impacts, and other climate change impacts, including by—	measures, anticipate, prepare, climate, impacts, reduce, risks, enhance, resilience, sea, level, rise, extreme, weather, events, heat, island
147	19.1 - 19.3	SEC. 2.(e)(3)(A)(i)(VII)(aa)	building resilient energy, water, and transportation infrastructure;	building, resilient, energy, water, transportation, infrastructure
148	19.4 - 19.6	SEC. 2.(e)(3)(A)(i)(VII)(bb)	providing weatherization assistance for low-income households; and	providing, weatherization, assistance, income, households
149	19.7 - 19.8	SEC. 2.(e)(3)(A)(i)(VII)(cc)	increasing the resilience of the agriculture sector; and	increasing, resilience, agriculture, sector
150	19.9 - 19.11	SEC. 2.(e)(3)(A)(i)(VIII)	natural infrastructure research, demonstrations, and deployment; and	natural, infrastructure, research, demonstrations, deployment
151	19.12 - 19.16	SEC. 2.(e)(3)(A)(ii)	may implement other investment tools and products approved by the Board, pursuant to subparagraph (C), to achieve the mission of the C2FC described in subsection (a)(2).	implement, investment, tools, products, approved, board, pursuant, subparagraph, achieve, mission, c2fc, described, subsection
152	19.17 - 19.17	SEC. 2.(e)(3)(B)	LOAN GUARANTEES.—	loan, guarantees
153	19.18 - 19.22	SEC. 2.(e)(3)(B)(i)	IN GENERAL.—In providing loan guarantees under subparagraph (A), the C2FC shall cooperate with eligible lenders through agreements to participate on a deferred (guaranteed) basis.	providing, loan, guarantees, subparagraph, c2fc, cooperate, eligible, lenders, agreements, participate, deferred, guaranteed, basis
154	19.23 - 20.3	SEC. 2.(e)(3)(B)(ii)	LEVEL OF PARTICIPATION IN GUARANTEED LOANS.—In providing a loan guarantee under subparagraph (A), the C2FC shall guarantee 75 percent of the balance of the financing outstanding at the time of disbursement of the loan.	level, participation, guaranteed, loans, providing, loan, guarantee, subparagraph, c2fc, balance, financing, outstanding, disbursement
155	20.4 - 20.12	SEC. 2.(e)(3)(B)(iii)	INTEREST RATES.—Notwithstanding the provisions of the constitution of any State or the laws of any State limiting the rate or amount of interest that may be charged, taken, received, or reserved, the maximum legal rate of interest on any financing made on a deferred basis under this subsection shall not exceed a rate prescribed by the C2FC.	interest, rates, notwithstanding, provisions, constitution, state, laws, limiting, rate, amount, charged, reserved, maximum, legal, financing, deferred, basis, subsection, exceed, prescribed, c2fc
156	20.13 - 20.13	SEC. 2.(e)(3)(B)(iv)	GUARANTEE FEES.—	guarantee, fees
157	20.14 - 20.21	SEC. 2.(e)(3)(B)(iv)(I)	IN GENERAL.—With respect to each loan guaranteed under this subsection (other than a loan that is repayable in 1 year or less), the C2FC shall collect a guarantee fee, which shall be payable by the eligible lender, and may be charged to the eligible borrower in accordance with subclause	respect, loan, guaranteed, subsection, repayable, c2fc, collect, guarantee, fee, payable, eligible, lender, charged, borrower, accordance, subclause
158	20.22 - 20.22	SEC. 2.(e)(3)(B)(iv)(II)	. (II) BORROWER CHARGES.—A guarantee fee described in subclause	
161	21.3 - 21.6	SEC. 2.(e)(3)(B)(iv)(II)(aa)	exceed 2 percent of the deferred participation share of a total loan amount that is equal to or less than $150,000;	exceed, deferred, participation, total, loan, amount, equal, 150,000
162	21.7 - 21.11	SEC. 2.(e)(3)(B)(iv)(II)(bb)	exceed 3 percent of the deferred participation share of a total loan amount that is greater than $150,000 but less than $700,000; or	exceed, deferred, participation, total, loan, amount, greater, 150,000, 700,000
163	21.12 - 21.16	SEC. 2.(e)(3)(B)(iv)(II)(cc)	exceed 3.5 percent of the deferred participation share of a total loan amount that is equal to or greater than $700,000.	exceed, deferred, participation, total, loan, amount, equal, greater, 700,000
164	21.17 - 21.18	SEC. 2.(e)(3)(C)	OTHER INVESTMENT TOOLS AND PRODUCTS.—	investment, tools, products
